,NCTId,BaselineMeasureDispersionType
9999,NCT03766373,Standard Deviation
3079,NCT00909480,Standard Deviation
7563,NCT01775670,Standard Deviation
2996,NCT00814697,Standard Deviation
7558,NCT03207750,Standard Deviation
3002,NCT00001703,Standard Deviation
7550,NCT01510834,Standard Deviation
7549,NCT02820038,Standard Deviation
3013,NCT01326026,Standard Deviation
3013,NCT01326026,Standard Deviation
3013,NCT01326026,Standard Deviation
7541,NCT01396187,Standard Deviation
3021,NCT01097785,Standard Deviation
3021,NCT01097785,Standard Deviation
3027,NCT00682617,Standard Deviation
3030,NCT02239770,Standard Deviation
3030,NCT02239770,Standard Deviation
3030,NCT02239770,Standard Deviation
3030,NCT02239770,Standard Deviation
3030,NCT02239770,Standard Deviation
3033,NCT03058692,Standard Deviation
7519,NCT00513500,Standard Deviation
7505,NCT00337428,Standard Deviation
3079,NCT00909480,Standard Deviation
3079,NCT00909480,Standard Deviation
3079,NCT00909480,Standard Deviation
3079,NCT00909480,Standard Deviation
7565,NCT02246413,Standard Deviation
7565,NCT02246413,Standard Deviation
7565,NCT02246413,Standard Deviation
2934,NCT01047709,Standard Deviation
7622,NCT02202031,Standard Deviation
7622,NCT02202031,Standard Deviation
2915,NCT01680341,Standard Deviation
2915,NCT01680341,Standard Deviation
2915,NCT01680341,Standard Deviation
7622,NCT02202031,Standard Deviation
7622,NCT02202031,Standard Deviation
7622,NCT02202031,Standard Deviation
7622,NCT02202031,Standard Deviation
7622,NCT02202031,Standard Deviation
7622,NCT02202031,Standard Deviation
7601,NCT02420353,Standard Deviation
7565,NCT02246413,Standard Deviation
2948,NCT01713530,Standard Deviation
2948,NCT01713530,Standard Deviation
2948,NCT01713530,Standard Deviation
2949,NCT02151877,Standard Deviation
2954,NCT03408483,Standard Deviation
2956,NCT00767039,Standard Deviation
7588,NCT01673178,Standard Deviation
7577,NCT00431847,Standard Deviation
7577,NCT00431847,Standard Deviation
7577,NCT00431847,Standard Deviation
7577,NCT00431847,Standard Deviation
3079,NCT00909480,Standard Deviation
3079,NCT00909480,Standard Deviation
7167,NCT02153346,Standard Deviation
7474,NCT01175707,Standard Deviation
3152,NCT03249584,Standard Deviation
7437,NCT00823212,Standard Deviation
7434,NCT01628718,Standard Deviation
7434,NCT01628718,Standard Deviation
7434,NCT01628718,Standard Deviation
7432,NCT01750684,Standard Deviation
7431,NCT02706873,Standard Deviation
7431,NCT02706873,Standard Deviation
7431,NCT02706873,Standard Deviation
3164,NCT01661686,Standard Deviation
3164,NCT01661686,Standard Deviation
3164,NCT01661686,Standard Deviation
3164,NCT01661686,Standard Deviation
3164,NCT01661686,Standard Deviation
7431,NCT02706873,Standard Deviation
7431,NCT02706873,Standard Deviation
7431,NCT02706873,Standard Deviation
7431,NCT02706873,Standard Deviation
3169,NCT00711490,Standard Deviation
7431,NCT02706873,Standard Deviation
3171,NCT00654615,Standard Deviation
7431,NCT02706873,Standard Deviation
3174,NCT01309828,Standard Deviation
3174,NCT01309828,Standard Deviation
3174,NCT01309828,Standard Deviation
3152,NCT03249584,Standard Deviation
7437,NCT00823212,Standard Deviation
3149,NCT00399880,Standard Deviation
3132,NCT02148445,Standard Deviation
3093,NCT01295879,Standard Deviation
3097,NCT00247377,Standard Deviation
7463,NCT02320903,Standard Deviation
7458,NCT01672710,Standard Deviation
3115,NCT02630563,Standard Deviation
3118,NCT01785615,Standard Deviation
3119,NCT02299427,Standard Deviation
3132,NCT02148445,Standard Deviation
3132,NCT02148445,Standard Deviation
3132,NCT02148445,Standard Deviation
3132,NCT02148445,Standard Deviation
3132,NCT02148445,Standard Deviation
3149,NCT00399880,Standard Deviation
3132,NCT02148445,Standard Deviation
3132,NCT02148445,Standard Deviation
3135,NCT02461758,Standard Deviation
3136,NCT02922985,Standard Deviation
3139,NCT02722278,Standard Deviation
3141,NCT00585013,Standard Deviation
7440,NCT02215200,Standard Deviation
3145,NCT00308620,Standard Deviation
7437,NCT00823212,Standard Deviation
7437,NCT00823212,Standard Deviation
3149,NCT00399880,Standard Deviation
7622,NCT02202031,Standard Deviation
7622,NCT02202031,Standard Deviation
7622,NCT02202031,Standard Deviation
7622,NCT02202031,Standard Deviation
2746,NCT01334554,Standard Deviation
2746,NCT01334554,Standard Deviation
2746,NCT01334554,Standard Deviation
2746,NCT01334554,Standard Deviation
2746,NCT01334554,Standard Deviation
2746,NCT01334554,Standard Deviation
2746,NCT01334554,Standard Deviation
2747,NCT02825251,Standard Deviation
2752,NCT02916433,Standard Deviation
7745,NCT00858988,Standard Deviation
2760,NCT00405912,Standard Deviation
2760,NCT00405912,Standard Deviation
7739,NCT00470158,Standard Deviation
2770,NCT02034513,Standard Deviation
2770,NCT02034513,Standard Deviation
2770,NCT02034513,Standard Deviation
2774,NCT00612040,Standard Deviation
2774,NCT00612040,Standard Deviation
2774,NCT00612040,Standard Deviation
2778,NCT02593032,Standard Deviation
2783,NCT01451762,Standard Deviation
7713,NCT01569191,Standard Deviation
7711,NCT02843178,Standard Deviation
7707,NCT03198754,Standard Deviation
7706,NCT01746264,Standard Deviation
2746,NCT01334554,Standard Deviation
2746,NCT01334554,Standard Deviation
2745,NCT00620750,Standard Deviation
2713,NCT00634842,Standard Deviation
2691,NCT00850135,Standard Deviation
2691,NCT00850135,Standard Deviation
2691,NCT00850135,Standard Deviation
7789,NCT02599961,Standard Deviation
7789,NCT02599961,Standard Deviation
2695,NCT01008280,Standard Deviation
2700,NCT00880256,Standard Deviation
7782,NCT03698279,Standard Deviation
2711,NCT02110381,Standard Deviation
2711,NCT02110381,Standard Deviation
2713,NCT00634842,Standard Deviation
2713,NCT00634842,Standard Deviation
2740,NCT01395368,Standard Deviation
7774,NCT00727506,Standard Deviation
2721,NCT00753922,Standard Deviation
2725,NCT00812097,Standard Deviation
7764,NCT01138917,Standard Deviation
2728,NCT03557775,Standard Deviation
2728,NCT03557775,Standard Deviation
2728,NCT03557775,Standard Deviation
2730,NCT01013870,Standard Deviation
2730,NCT01013870,Standard Deviation
7761,NCT02870205,Standard Deviation
2737,NCT03211156,Standard Deviation
2803,NCT01570309,Standard Deviation
2805,NCT01903876,Standard Deviation
2805,NCT01903876,Standard Deviation
2864,NCT00736190,Standard Deviation
2848,NCT02030600,Standard Deviation
2848,NCT02030600,Standard Deviation
2848,NCT02030600,Standard Deviation
7659,NCT01999868,Standard Deviation
7659,NCT01999868,Standard Deviation
7659,NCT01999868,Standard Deviation
7659,NCT01999868,Standard Deviation
2863,NCT00440232,Standard Deviation
2864,NCT00736190,Standard Deviation
2864,NCT00736190,Standard Deviation
2864,NCT00736190,Standard Deviation
2866,NCT01106456,Standard Deviation
2835,NCT01850615,Standard Deviation
7648,NCT00790790,Standard Deviation
7647,NCT00785577,Standard Deviation
2878,NCT01676116,Standard Deviation
2878,NCT01676116,Standard Deviation
2878,NCT01676116,Standard Deviation
7643,NCT00386100,Standard Deviation
7643,NCT00386100,Standard Deviation
7642,NCT00676143,Standard Deviation
7641,NCT00667810,Standard Deviation
7624,NCT02756689,Standard Deviation
7622,NCT02202031,Standard Deviation
7666,NCT02298361,Standard Deviation
2835,NCT01850615,Standard Deviation
2805,NCT01903876,Standard Deviation
2805,NCT01903876,Standard Deviation
2805,NCT01903876,Standard Deviation
2805,NCT01903876,Standard Deviation
2805,NCT01903876,Standard Deviation
2805,NCT01903876,Standard Deviation
2805,NCT01903876,Standard Deviation
2805,NCT01903876,Standard Deviation
2805,NCT01903876,Standard Deviation
2805,NCT01903876,Standard Deviation
2805,NCT01903876,Standard Deviation
2805,NCT01903876,Standard Deviation
2805,NCT01903876,Standard Deviation
2805,NCT01903876,Standard Deviation
2835,NCT01850615,Standard Deviation
7699,NCT02721147,Standard Deviation
2814,NCT00531518,Standard Deviation
2814,NCT00531518,Standard Deviation
7690,NCT00571038,Standard Deviation
2834,NCT02305381,Standard Deviation
2834,NCT02305381,Standard Deviation
2834,NCT02305381,Standard Deviation
2834,NCT02305381,Standard Deviation
2834,NCT02305381,Standard Deviation
2834,NCT02305381,Standard Deviation
2834,NCT02305381,Standard Deviation
3174,NCT01309828,Standard Deviation
3174,NCT01309828,Standard Deviation
3174,NCT01309828,Standard Deviation
7334,NCT02734238,Standard Deviation
7292,NCT01529034,Standard Deviation
3450,NCT00675584,Standard Deviation
7285,NCT03227861,Standard Deviation
3453,NCT01045447,Standard Deviation
3453,NCT01045447,Standard Deviation
3453,NCT01045447,Standard Deviation
3458,NCT00566995,Standard Deviation
3462,NCT00581061,Standard Deviation
3466,NCT01997723,Standard Deviation
3469,NCT00324155,Standard Deviation
3470,NCT00572039,Standard Deviation
3470,NCT00572039,Standard Deviation
3470,NCT00572039,Standard Deviation
3470,NCT00572039,Standard Deviation
3470,NCT00572039,Standard Deviation
3476,NCT01831765,Standard Deviation
3476,NCT01831765,Standard Deviation
3476,NCT01831765,Standard Deviation
7262,NCT01412866,Standard Deviation
3486,NCT01215721,Standard Deviation
3487,NCT01482962,Standard Deviation
3487,NCT01482962,Standard Deviation
3487,NCT01482962,Standard Deviation
3487,NCT01482962,Standard Deviation
7262,NCT01412866,Standard Deviation
3426,NCT00917501,Standard Deviation
7305,NCT01670825,Standard Deviation
7306,NCT01683409,Standard Deviation
3386,NCT01392573,Standard Deviation
7334,NCT02734238,Standard Deviation
7334,NCT02734238,Standard Deviation
7334,NCT02734238,Standard Deviation
7334,NCT02734238,Standard Deviation
3367,NCT00811057,Standard Deviation
3368,NCT00112047,Standard Deviation
3368,NCT00112047,Standard Deviation
3368,NCT00112047,Standard Deviation
3374,NCT03634306,Standard Deviation
3374,NCT03634306,Standard Deviation
7326,NCT01556581,Standard Deviation
3386,NCT01392573,Standard Deviation
7317,NCT00822692,Standard Deviation
3386,NCT01392573,Standard Deviation
3396,NCT01597596,Standard Deviation
7322,NCT01208870,Standard Deviation
7322,NCT01208870,Standard Deviation
7322,NCT01208870,Standard Deviation
7322,NCT01208870,Standard Deviation
7322,NCT01208870,Standard Deviation
3404,NCT01152580,Standard Deviation
3404,NCT01152580,Standard Deviation
3406,NCT01923389,Standard Deviation
3409,NCT02465463,Standard Deviation
3490,NCT01648140,Standard Deviation
7258,NCT02010684,Standard Deviation
7258,NCT02010684,Standard Deviation
3587,NCT00486902,Standard Deviation
3569,NCT00847288,Standard Deviation
3569,NCT00847288,Standard Deviation
3569,NCT00847288,Standard Deviation
3569,NCT00847288,Standard Deviation
3569,NCT00847288,Standard Deviation
3573,NCT01045707,Standard Deviation
3573,NCT01045707,Standard Deviation
3573,NCT01045707,Standard Deviation
3575,NCT00846573,Standard Deviation
3581,NCT01162122,Standard Deviation
3586,NCT00396032,Standard Deviation
3590,NCT00773279,Standard Deviation
3548,NCT02158884,Standard Deviation
3590,NCT00773279,Standard Deviation
3603,NCT00727636,Standard Deviation
7177,NCT00990106,Standard Deviation
7171,NCT02195427,Standard Deviation
7170,NCT01508130,Standard Deviation
7167,NCT02153346,Standard Deviation
3615,NCT02239328,Standard Deviation
7167,NCT02153346,Standard Deviation
7167,NCT02153346,Standard Deviation
7167,NCT02153346,Standard Deviation
7167,NCT02153346,Standard Deviation
3565,NCT01566500,Standard Deviation
3548,NCT02158884,Standard Deviation
7258,NCT02010684,Standard Deviation
3517,NCT00982228,Standard Deviation
7258,NCT02010684,Standard Deviation
7258,NCT02010684,Standard Deviation
7258,NCT02010684,Standard Deviation
7258,NCT02010684,Standard Deviation
3501,NCT01230021,Standard Deviation
7258,NCT02010684,Standard Deviation
7258,NCT02010684,Standard Deviation
7258,NCT02010684,Standard Deviation
7258,NCT02010684,Standard Deviation
3515,NCT01491607,Standard Deviation
3516,NCT00396253,Standard Deviation
3517,NCT00982228,Standard Deviation
7228,NCT01147900,Standard Deviation
3517,NCT00982228,Standard Deviation
7246,NCT01750268,Standard Deviation
3523,NCT00280826,Standard Deviation
7241,NCT01024569,Standard Deviation
3529,NCT01588158,Standard Deviation
3533,NCT01965756,Standard Deviation
3533,NCT01965756,Standard Deviation
3533,NCT01965756,Standard Deviation
3533,NCT01965756,Standard Deviation
7233,NCT01524133,Standard Deviation
7228,NCT01147900,Standard Deviation
7334,NCT02734238,Standard Deviation
7334,NCT02734238,Standard Deviation
3174,NCT01309828,Standard Deviation
3356,NCT01917812,Standard Deviation
7402,NCT00795821,Standard Deviation
3222,NCT01775865,Standard Deviation
3226,NCT01233050,Standard Deviation
3227,NCT00578877,Standard Deviation
3229,NCT00395304,Standard Deviation
7394,NCT01121406,Standard Deviation
7390,NCT00130208,Standard Deviation
7388,NCT01554891,Standard Deviation
7385,NCT00048932,Standard Deviation
7382,NCT00970944,Standard Deviation
7379,NCT02504931,Standard Deviation
7376,NCT00756600,Standard Deviation
7373,NCT01170546,Standard Deviation
3256,NCT01131312,Standard Deviation
7370,NCT02123251,Standard Deviation
7362,NCT02237196,Standard Deviation
3268,NCT00837161,Standard Deviation
3271,NCT00796705,Standard Deviation
3271,NCT00796705,Standard Deviation
3272,NCT00469079,Standard Deviation
3272,NCT00469079,Standard Deviation
3279,NCT01661764,Standard Deviation
3282,NCT01253811,Standard Deviation
7358,NCT01996254,Standard Deviation
7347,NCT02877680,Standard Deviation
3215,NCT02261974,Standard Deviation
3215,NCT02261974,Standard Deviation
3215,NCT02261974,Standard Deviation
3187,NCT01553318,Standard Deviation
7431,NCT02706873,Standard Deviation
7431,NCT02706873,Standard Deviation
7428,NCT02216812,Standard Deviation
7428,NCT02216812,Standard Deviation
3186,NCT01618162,Standard Deviation
3186,NCT01618162,Standard Deviation
3186,NCT01618162,Standard Deviation
3186,NCT01618162,Standard Deviation
3187,NCT01553318,Standard Deviation
3187,NCT01553318,Standard Deviation
3187,NCT01553318,Standard Deviation
3188,NCT01088438,Standard Deviation
3215,NCT02261974,Standard Deviation
7420,NCT00201006,Standard Deviation
7420,NCT00201006,Standard Deviation
3198,NCT01005732,Standard Deviation
3199,NCT02384460,Standard Deviation
3201,NCT01570751,Standard Deviation
3201,NCT01570751,Standard Deviation
3201,NCT01570751,Standard Deviation
3202,NCT03040466,Standard Deviation
3210,NCT01428713,Standard Deviation
3215,NCT02261974,Standard Deviation
3215,NCT02261974,Standard Deviation
7347,NCT02877680,Standard Deviation
7347,NCT02877680,Standard Deviation
7347,NCT02877680,Standard Deviation
7334,NCT02734238,Standard Deviation
3338,NCT02290106,Standard Deviation
3338,NCT02290106,Standard Deviation
3338,NCT02290106,Standard Deviation
3338,NCT02290106,Standard Deviation
3338,NCT02290106,Standard Deviation
3339,NCT01578317,Standard Deviation
7334,NCT02734238,Standard Deviation
7334,NCT02734238,Standard Deviation
3342,NCT00700804,Standard Deviation
3343,NCT00620763,Standard Deviation
7334,NCT02734238,Standard Deviation
7334,NCT02734238,Standard Deviation
7334,NCT02734238,Standard Deviation
7334,NCT02734238,Standard Deviation
7334,NCT02734238,Standard Deviation
3349,NCT01620489,Standard Deviation
3349,NCT01620489,Standard Deviation
3349,NCT01620489,Standard Deviation
3350,NCT01096771,Standard Deviation
3351,NCT00394329,Standard Deviation
7334,NCT02734238,Standard Deviation
7334,NCT02734238,Standard Deviation
7334,NCT02734238,Standard Deviation
7334,NCT02734238,Standard Deviation
7334,NCT02734238,Standard Deviation
7334,NCT02734238,Standard Deviation
7347,NCT02877680,Standard Deviation
3310,NCT01391858,Standard Deviation
7347,NCT02877680,Standard Deviation
3300,NCT00754390,Standard Deviation
7347,NCT02877680,Standard Deviation
7347,NCT02877680,Standard Deviation
7347,NCT02877680,Standard Deviation
3304,NCT00556842,Standard Deviation
7347,NCT02877680,Standard Deviation
7347,NCT02877680,Standard Deviation
7347,NCT02877680,Standard Deviation
7347,NCT02877680,Standard Deviation
3309,NCT03399370,Standard Deviation
7347,NCT02877680,Standard Deviation
3334,NCT01789814,Standard Deviation
7347,NCT02877680,Standard Deviation
7341,NCT01996826,Standard Deviation
7338,NCT03026556,Standard Deviation
7334,NCT02734238,Standard Deviation
3327,NCT00763698,Standard Deviation
7334,NCT02734238,Standard Deviation
7334,NCT02734238,Standard Deviation
7334,NCT02734238,Standard Deviation
7334,NCT02734238,Standard Deviation
7334,NCT02734238,Standard Deviation
7334,NCT02734238,Standard Deviation
2691,NCT00850135,Standard Deviation
7789,NCT02599961,Standard Deviation
7789,NCT02599961,Standard Deviation
1987,NCT00599014,Standard Deviation
8235,NCT00676793,Standard Deviation
8234,NCT00176462,Standard Deviation
8232,NCT01811940,Standard Deviation
8228,NCT00879996,Standard Deviation
8227,NCT02257099,Standard Deviation
8215,NCT02147613,Standard Deviation
8212,NCT01297062,Standard Deviation
8212,NCT01297062,Standard Deviation
8211,NCT01882439,Standard Deviation
8210,NCT00271739,Standard Deviation
2111,NCT02364570,Standard Deviation
2111,NCT02364570,Standard Deviation
2111,NCT02364570,Standard Deviation
2111,NCT02364570,Standard Deviation
2111,NCT02364570,Standard Deviation
2111,NCT02364570,Standard Deviation
2111,NCT02364570,Standard Deviation
2111,NCT02364570,Standard Deviation
2111,NCT02364570,Standard Deviation
2111,NCT02364570,Standard Deviation
2112,NCT01164644,Standard Deviation
2124,NCT02482675,Standard Deviation
2124,NCT02482675,Standard Deviation
2124,NCT02482675,Standard Deviation
2124,NCT02482675,Standard Deviation
8240,NCT01658228,Standard Deviation
2077,NCT00294060,Standard Deviation
2066,NCT02043574,Standard Deviation
8292,NCT01709110,Standard Deviation
1991,NCT00819013,Standard Deviation
1995,NCT03311646,Standard Deviation
1995,NCT03311646,Standard Deviation
1995,NCT03311646,Standard Deviation
1995,NCT03311646,Standard Deviation
8304,NCT00380068,Standard Deviation
2005,NCT01750294,Standard Deviation
2005,NCT01750294,Standard Deviation
8296,NCT00529308,Standard Deviation
2011,NCT02500836,Standard Deviation
8292,NCT01709110,Standard Deviation
2019,NCT01699022,Standard Deviation
8255,NCT01100268,Standard Deviation
8287,NCT00605189,Standard Deviation
2027,NCT02741284,Standard Deviation
2027,NCT02741284,Standard Deviation
2027,NCT02741284,Standard Deviation
2027,NCT02741284,Standard Deviation
8280,NCT01910402,Standard Deviation
8261,NCT03223337,Standard Deviation
2053,NCT01050205,Standard Deviation
8259,NCT00514449,Standard Deviation
2056,NCT00916539,Standard Deviation
8256,NCT02717754,Standard Deviation
2124,NCT02482675,Standard Deviation
2124,NCT02482675,Standard Deviation
2124,NCT02482675,Standard Deviation
2217,NCT01592383,Standard Deviation
8142,NCT02853435,Standard Deviation
2197,NCT01357551,Standard Deviation
2197,NCT01357551,Standard Deviation
2197,NCT01357551,Standard Deviation
2197,NCT01357551,Standard Deviation
8136,NCT02566317,Standard Deviation
2204,NCT01254669,Standard Deviation
2204,NCT01254669,Standard Deviation
8132,NCT03599193,Standard Deviation
8132,NCT03599193,Standard Deviation
2210,NCT03168425,Standard Deviation
2218,NCT01702428,Standard Deviation
2193,NCT03709823,Standard Deviation
2221,NCT03148262,Standard Deviation
2221,NCT03148262,Standard Deviation
8123,NCT01980771,Standard Deviation
2224,NCT00924508,Standard Deviation
2230,NCT01299896,Standard Deviation
2231,NCT01737762,Standard Deviation
2232,NCT00322049,Standard Deviation
2239,NCT01109602,Standard Deviation
2239,NCT01109602,Standard Deviation
2240,NCT01848353,Standard Deviation
2240,NCT01848353,Standard Deviation
2194,NCT02762370,Standard Deviation
2193,NCT03709823,Standard Deviation
2137,NCT00134901,Standard Deviation
2162,NCT02482610,Standard Deviation
8186,NCT01343056,Standard Deviation
8185,NCT02266576,Standard Deviation
8185,NCT02266576,Standard Deviation
8182,NCT02422940,Standard Deviation
2145,NCT01681992,Standard Deviation
2149,NCT00751179,Standard Deviation
2150,NCT02600845,Standard Deviation
8168,NCT01958437,Standard Deviation
2162,NCT02482610,Standard Deviation
2162,NCT02482610,Standard Deviation
2162,NCT02482610,Standard Deviation
2162,NCT02482610,Standard Deviation
8144,NCT02140775,Standard Deviation
2162,NCT02482610,Standard Deviation
2162,NCT02482610,Standard Deviation
2162,NCT02482610,Standard Deviation
2162,NCT02482610,Standard Deviation
8160,NCT01401023,Standard Deviation
8157,NCT03353922,Standard Deviation
8155,NCT00389493,Standard Deviation
2184,NCT03606460,Standard Deviation
8145,NCT01141049,Standard Deviation
2189,NCT01547286,Standard Deviation
8144,NCT02140775,Standard Deviation
1988,NCT01532986,Standard Deviation
1984,NCT01999322,Standard Deviation
8106,NCT00302055,Standard Deviation
1974,NCT00790803,Standard Deviation
1808,NCT01520038,Standard Deviation
8433,NCT01552213,Standard Deviation
8427,NCT01280591,Standard Deviation
1817,NCT03301298,Standard Deviation
8425,NCT01495858,Standard Deviation
8421,NCT00553319,Standard Deviation
8421,NCT00553319,Standard Deviation
8408,NCT01324999,Standard Deviation
8408,NCT01324999,Standard Deviation
1838,NCT00350337,Standard Deviation
8408,NCT01324999,Standard Deviation
8408,NCT01324999,Standard Deviation
8408,NCT01324999,Standard Deviation
8408,NCT01324999,Standard Deviation
8408,NCT01324999,Standard Deviation
8408,NCT01324999,Standard Deviation
8408,NCT01324999,Standard Deviation
8403,NCT00458211,Standard Deviation
8397,NCT02037568,Standard Deviation
8397,NCT02037568,Standard Deviation
8390,NCT00496483,Standard Deviation
8389,NCT01422135,Standard Deviation
8386,NCT01537887,Standard Deviation
1873,NCT01591408,Standard Deviation
8381,NCT00938782,Standard Deviation
1799,NCT00995410,Standard Deviation
1776,NCT00531661,Standard Deviation
8467,NCT01582451,Standard Deviation
1755,NCT00620282,Standard Deviation
8506,NCT01490697,Standard Deviation
1725,NCT01473953,Standard Deviation
8496,NCT02508935,Standard Deviation
1745,NCT01569841,Standard Deviation
1745,NCT01569841,Standard Deviation
1745,NCT01569841,Standard Deviation
8484,NCT01790438,Standard Deviation
8484,NCT01790438,Standard Deviation
8484,NCT01790438,Standard Deviation
1755,NCT00620282,Standard Deviation
1755,NCT00620282,Standard Deviation
1755,NCT00620282,Standard Deviation
8469,NCT00760383,Standard Deviation
1755,NCT00620282,Standard Deviation
1755,NCT00620282,Standard Deviation
