,NCTId,IsFDARegulatedDrug
9208,NCT04391179,Yes
9207,NCT04392232,Yes
9804,NCT03899805,Yes
9674,NCT04002362,Yes
9204,NCT04398368,Yes
9203,NCT04398745,Yes
9202,NCT04399980,Yes
9803,NCT03900793,Yes
9199,NCT04401527,Yes
9670,NCT04003987,Yes
9668,NCT04007588,Yes
9443,NCT04203225,Yes
9760,NCT03933631,Yes
9193,NCT04407377,Yes
9550,NCT04091061,Yes
9929,NCT03810703,Yes
9551,NCT04091022,Yes
9191,NCT04410302,Yes
9189,NCT04411667,Yes
9553,NCT04090775,Yes
9931,NCT03810417,Yes
9932,NCT03807739,Yes
9767,NCT03928288,Yes
9554,NCT04090684,Yes
9444,NCT04201145,Yes
9212,NCT04388319,Yes
9213,NCT04387084,Yes
9546,NCT04093050,Yes
9679,NCT04000555,Yes
9234,NCT04372433,Yes
9233,NCT04372641,Yes
9907,NCT03823911,Yes
9232,NCT04373044,Yes
9231,NCT04374305,Yes
9230,NCT04374565,Yes
9910,NCT03822962,Yes
9808,NCT03897543,Yes
9228,NCT04375813,Yes
9227,NCT04378075,Yes
9446,NCT04200573,Yes
9912,NCT03821246,Yes
9914,NCT03819881,Yes
9223,NCT04379011,Yes
9916,NCT03819387,Yes
9544,NCT04094857,Yes
9762,NCT03933488,Yes
9918,NCT03818191,Yes
9217,NCT04383938,Yes
9369,NCT04256317,Yes
9370,NCT04254692,Yes
9215,NCT04386057,Yes
9881,NCT03844906,Yes
9750,NCT03940950,Yes
71,NCT03353480,Yes
9314,NCT04305184,Yes
9480,NCT04153188,Yes
9465,NCT04174677,Yes
9723,NCT03964532,Yes
9341,NCT04279847,Yes
9830,NCT03878589,Yes
9464,NCT04176172,Yes
9845,NCT03867682,Yes
9482,NCT04152473,Yes
9721,NCT03967093,Yes
9483,NCT04150913,Yes
9315,NCT04305145,Yes
9846,NCT03867539,Yes
9479,NCT04154774,Yes
9313,NCT04305587,Yes
9486,NCT04148352,Yes
9487,NCT04146051,Yes
9739,NCT03948386,Yes
9310,NCT04305743,Yes
9309,NCT04306146,Yes
9853,NCT03865212,Yes
9304,NCT04311619,Yes
9742,NCT03945721,Yes
9303,NCT04313400,Yes
9490,NCT04145375,Yes
9339,NCT04282668,Yes
9320,NCT04299438,Yes
9456,NCT04188015,Yes
9727,NCT03962725,Yes
9331,NCT04291755,Yes
9833,NCT03876028,Yes
9731,NCT03961308,Yes
9470,NCT04170738,Yes
9330,NCT04292119,Yes
9729,NCT03961932,Yes
9471,NCT04169321,Yes
9728,NCT03962049,Yes
9835,NCT03875287,Yes
9836,NCT03875209,Yes
9733,NCT03956056,Yes
9327,NCT04294004,Yes
9478,NCT04160000,Yes
9336,NCT04284514,Yes
9326,NCT04294043,Yes
9325,NCT04294225,Yes
9468,NCT04171817,Yes
9840,NCT03874052,Yes
9324,NCT04294641,Yes
9322,NCT04295642,Yes
9726,NCT03962894,Yes
9736,NCT03953898,Yes
9477,NCT04160065,Yes
9466,NCT04174352,Yes
9301,NCT04315558,Yes
9491,NCT04144023,Yes
9860,NCT03862053,Yes
9877,NCT03848403,Yes
9284,NCT04328467,Yes
9507,NCT04126070,Yes
9510,NCT04124939,Yes
9872,NCT03849456,Yes
9350,NCT04270682,Yes
9283,NCT04329832,Yes
9282,NCT04330183,Yes
9711,NCT03978598,Yes
9748,NCT03941743,Yes
9512,NCT04123574,Yes
9822,NCT03881735,Yes
9278,NCT04332523,Yes
9492,NCT04143711,Yes
9708,NCT03980561,Yes
9706,NCT03980769,Yes
9878,NCT03847467,Yes
9749,NCT03941730,Yes
9275,NCT04334382,Yes
9274,NCT04335682,Yes
9704,NCT03982069,Yes
9353,NCT04269707,Yes
9703,NCT03982160,Yes
9820,NCT03882359,Yes
9356,NCT04267250,Yes
9349,NCT04273139,Yes
138,NCT03965195,Yes
9713,NCT03976102,Yes
9506,NCT04126096,Yes
9827,NCT03880656,Yes
9493,NCT04142983,Yes
9862,NCT03861091,Yes
9343,NCT04278781,Yes
9296,NCT04318145,Yes
9746,NCT03943238,Yes
9463,NCT04178993,Yes
9718,NCT03971799,Yes
9294,NCT04319198,Yes
9717,NCT03972228,Yes
9462,NCT04179474,Yes
9293,NCT04319224,Yes
9496,NCT04137536,Yes
9497,NCT04134884,Yes
9498,NCT04134715,Yes
9499,NCT04134559,Yes
9867,NCT03854721,Yes
9348,NCT04273282,Yes
9715,NCT03976050,Yes
9823,NCT03881449,Yes
9714,NCT03976076,Yes
9503,NCT04129060,Yes
9504,NCT04128995,Yes
9934,NCT03805438,Yes
9332,NCT04291066,Yes
9186,NCT04415073,Yes
9965,NCT03787680,Yes
9149,NCT04463394,Yes
9575,NCT04079179,Yes
9602,NCT04055168,Yes
9986,NCT03772925,Yes
9640,NCT04026711,Yes
9118,NCT04486313,Yes
9389,NCT04240756,Yes
9601,NCT04055623,Yes
9120,NCT04485559,Yes
9579,NCT04074343,Yes
9121,NCT04485026,Yes
9122,NCT04485013,Yes
9960,NCT03792516,Yes
9961,NCT03792477,Yes
40,NCT02959827,Yes
9423,NCT04218799,Yes
9638,NCT04032834,Yes
9985,NCT03773107,Yes
9964,NCT03787758,Yes
9150,NCT04462770,Yes
9151,NCT04461795,Yes
9426,NCT04214301,Yes
9982,NCT03774654,Yes
49,NCT02773979,Yes
9110,NCT04495283,Yes
9156,NCT04452500,Yes
9569,NCT04082481,Yes
9111,NCT04495257,Yes
9786,NCT03913260,Yes
9427,NCT04214249,Yes
9571,NCT04081272,Yes
9778,NCT03919175,Yes
9958,NCT03793829,Yes
9604,NCT04054687,Yes
9152,NCT04460872,Yes
9603,NCT04055012,Yes
9987,NCT03771963,Yes
9573,NCT04080531,Yes
9116,NCT04486716,Yes
9643,NCT04025372,Yes
9777,NCT03920878,Yes
9146,NCT04466098,Yes
9775,NCT03922204,Yes
9988,NCT03771638,Yes
9583,NCT04072458,Yes
9977,NCT03778294,Yes
9136,NCT04477642,Yes
9790,NCT03910114,Yes
9634,NCT04037865,Yes
9135,NCT04478617,Yes
9590,NCT04064190,Yes
9416,NCT04222712,Yes
9134,NCT04478695,Yes
9133,NCT04478708,Yes
9591,NCT04060849,Yes
9592,NCT04059523,Yes
9132,NCT04479514,Yes
9395,NCT04236635,Yes
9789,NCT03912064,Yes
9980,NCT03776539,Yes
9595,NCT04058145,Yes
9598,NCT04056468,Yes
9130,NCT04480086,Yes
9596,NCT04057365,Yes
9127,NCT04482712,Yes
9393,NCT04238481,Yes
9126,NCT04483206,Yes
9141,NCT04469920,Yes
9422,NCT04219280,Yes
9584,NCT04072445,Yes
9968,NCT03785366,Yes
9143,NCT04467723,Yes
33,NCT02334462,Yes
9555,NCT04090528,Yes
9142,NCT04469530,Yes
9599,NCT04056455,Yes
9420,NCT04220190,Yes
9125,NCT04483440,Yes
9124,NCT04484337,Yes
9392,NCT04239040,Yes
9972,NCT03781986,Yes
9633,NCT04038125,Yes
9588,NCT04068649,Yes
9974,NCT03781323,Yes
9415,NCT04223635,Yes
9137,NCT04474210,Yes
9161,NCT04448834,Yes
9645,NCT04022980,Yes
9983,NCT03773666,Yes
9385,NCT04242147,Yes
9658,NCT04017130,Yes
9182,NCT04421560,Yes
9994,NCT03769116,Yes
9563,NCT04087096,Yes
9380,NCT04246996,Yes
9623,NCT04042506,Yes
9942,NCT03802994,Yes
9943,NCT03801369,Yes
9410,NCT04227847,Yes
9612,NCT04049227,Yes
9654,NCT04017936,Yes
9945,NCT03799848,Yes
8,NCT03972358,Yes
9170,NCT04436029,Yes
9611,NCT04049331,Yes
9769,NCT03927105,Yes
9098,NCT04505410,Yes
9660,NCT04016077,Yes
9102,NCT04501796,Yes
9408,NCT04228289,Yes
9997,NCT03767738,Yes
9995,NCT03768310,Yes
9616,NCT04047420,Yes
9559,NCT04088357,Yes
9624,NCT04040205,Yes
9940,NCT03803553,Yes
9438,NCT04207255,Yes
9100,NCT04502407,Yes
9561,NCT04088123,Yes
9625,NCT04039087,Yes
9181,NCT04422912,Yes
9099,NCT04502706,Yes
9656,NCT04017390,Yes
9407,NCT04229979,Yes
9659,NCT04016233,Yes
9105,NCT04498520,Yes
9183,NCT04419389,Yes
53,NCT03197688,Yes
9627,NCT04038840,Yes
9164,NCT04443608,Yes
9434,NCT04209790,Yes
9949,NCT03797612,Yes
9399,NCT04235686,Yes
9432,NCT04210180,Yes
9185,NCT04417699,Yes
9651,NCT04019197,Yes
9802,NCT03901378,Yes
9771,NCT03926741,Yes
9377,NCT04251026,Yes
9431,NCT04210427,Yes
9163,NCT04444050,Yes
9403,NCT04233073,Yes
9435,NCT04209049,Yes
9947,NCT03798314,Yes
58,NCT02987335,Yes
9566,NCT04084210,Yes
9938,NCT03803761,Yes
9653,NCT04018274,Yes
9406,NCT04231318,Yes
9618,NCT04046549,Yes
9381,NCT04243486,Yes
9652,NCT04018599,Yes
9609,NCT04049669,Yes
9166,NCT04440007,Yes
9937,NCT03804021,Yes
5304,NCT03887390,No
5310,NCT03206164,No
9732,NCT03956797,No
5012,NCT04041297,No
5303,NCT04113421,No
5042,NCT03285191,No
5307,NCT04570293,No
5351,NCT03279913,No
5014,NCT04168658,No
5306,NCT03678207,No
5305,NCT04212962,No
5041,NCT03914365,No
5350,NCT03683147,No
5309,NCT03843021,No
5339,NCT03465813,No
5348,NCT03864302,No
9743,NCT03945474,No
5026,NCT02233517,No
5036,NCT04279704,No
5331,NCT04586387,No
9741,NCT03947749,No
9740,NCT03948139,No
5333,NCT00904046,No
5334,NCT03646084,No
5034,NCT03372018,No
9779,NCT03917160,No
5029,NCT02801747,No
5030,NCT04313296,No
9738,NCT03951610,No
5031,NCT04540003,No
5337,NCT03589703,No
5338,NCT04114526,No
5025,NCT04026399,No
5022,NCT03308097,No
5040,NCT03102580,No
9737,NCT03951883,No
5311,NCT03610555,No
5313,NCT04562948,No
5314,NCT04533386,No
5321,NCT03718585,No
9780,NCT03916822,No
5015,NCT04266938,No
5039,NCT03291808,No
9734,NCT03954977,No
9745,NCT03944746,No
9735,NCT03954392,No
5017,NCT03923491,No
9776,NCT03921814,No
5342,NCT03769571,No
9744,NCT03945383,No
5020,NCT04397055,No
5344,NCT03153397,No
9773,NCT03922724,No
5045,NCT04163627,No
5196,NCT03758742,No
5142,NCT04565028,No
5353,NCT03880812,No
5203,NCT03119363,No
5206,NCT04151186,No
5208,NCT03989063,No
5141,NCT03978533,No
5211,NCT04518670,No
9761,NCT03933540,No
5138,NCT04287361,No
5213,NCT03126253,No
5133,NCT03818789,No
5214,NCT04275180,No
5216,NCT03844867,No
5217,NCT03666247,No
9770,NCT03927053,No
5131,NCT03232086,No
5219,NCT03451461,No
5221,NCT02257372,No
5118,NCT04248751,No
5112,NCT03501082,No
5222,NCT04184843,No
5109,NCT02839785,No
5103,NCT03724487,No
5144,NCT03041077,No
5193,NCT03674216,No
5299,NCT03475420,No
5146,NCT04164537,No
5166,NCT03555370,No
5167,NCT03808545,No
5170,NCT00129662,No
5165,NCT04536350,No
5162,NCT04500626,No
5172,NCT02500589,No
5173,NCT03528382,No
5174,NCT03694028,No
5159,NCT03710356,No
9765,NCT03929237,No
9764,NCT03931746,No
5178,NCT03450135,No
5158,NCT00341094,No
5179,NCT03731000,No
5180,NCT03007485,No
5183,NCT04276051,No
9768,NCT03928041,No
5184,NCT03373916,No
5153,NCT03283657,No
9763,NCT03931772,No
5188,NCT03442192,No
5190,NCT04108052,No
5152,NCT03255564,No
9757,NCT03936985,No
5100,NCT03832283,No
9756,NCT03937453,No
5098,NCT03741335,No
5268,NCT03780413,No
5077,NCT03337438,No
5269,NCT04250779,No
5075,NCT03662412,No
5275,NCT04073667,No
5074,NCT04247087,No
9774,NCT03922529,No
5277,NCT03177447,No
5069,NCT03858868,No
5063,NCT03411057,No
5278,NCT03806257,No
5283,NCT03161795,No
5285,NCT03207711,No
5062,NCT02341326,No
5286,NCT03495388,No
5287,NCT04197674,No
5289,NCT04171921,No
9747,NCT03942549,No
5058,NCT03457272,No
5049,NCT03491202,No
5295,NCT03615469,No
5297,NCT04040010,No
5298,NCT04323774,No
9751,NCT03940508,No
5267,NCT02990377,No
5079,NCT04396431,No
5247,NCT04421755,No
9772,NCT03924557,No
5095,NCT03365063,No
5230,NCT04356274,No
9755,NCT03937531,No
5236,NCT04041687,No
5237,NCT04446468,No
5238,NCT04267978,No
5239,NCT04609995,No
5242,NCT02540512,No
5243,NCT03743337,No
9754,NCT03938077,No
9752,NCT03938974,No
5093,NCT03069092,No
5255,NCT03856320,No
9753,NCT03938103,No
5092,NCT04590521,No
5263,NCT04555239,No
5089,NCT03869138,No
5088,NCT04032613,No
5086,NCT03520400,No
5084,NCT01960465,No
5082,NCT04300699,No
5199,NCT04334278,No
9705,NCT03981978,No
5358,NCT04236804,No
5826,NCT04515069,No
5775,NCT04504604,No
5784,NCT03067649,No
5785,NCT03634527,No
9657,NCT04017312,No
5793,NCT03913715,No
5797,NCT04073901,No
5802,NCT03198156,No
9655,NCT04017910,No
5806,NCT03980808,No
5807,NCT04173806,No
5811,NCT03581565,No
5812,NCT03111550,No
5815,NCT04378101,No
5827,NCT04181034,No
5772,NCT03828708,No
9650,NCT04020822,No
5828,NCT03411577,No
5830,NCT04316429,No
5832,NCT04463264,No
5833,NCT04132739,No
5834,NCT04495634,No
9649,NCT04021602,No
9648,NCT04021771,No
5849,NCT02297126,No
9647,NCT04022707,No
9646,NCT04022889,No
5865,NCT03157531,No
5867,NCT04227405,No
5774,NCT03336255,No
5769,NCT03266003,No
9730,NCT03961633,No
9671,NCT04003051,No
5695,NCT04475172,No
5696,NCT02994108,No
5697,NCT04330235,No
5698,NCT03089684,No
5700,NCT01794949,No
5702,NCT03052530,No
5703,NCT04241471,No
5704,NCT04240483,No
5707,NCT03267563,No
9673,NCT04002440,No
5713,NCT03834025,No
5717,NCT03723928,No
9672,NCT04002882,No
5723,NCT03928067,No
9661,NCT04015167,No
5727,NCT01906437,No
9669,NCT04004598,No
5734,NCT02739464,No
9667,NCT04007666,No
5743,NCT03716505,No
9666,NCT04009447,No
9665,NCT04010227,No
5758,NCT02236390,No
9664,NCT04014400,No
5761,NCT03711747,No
9663,NCT04015128,No
5765,NCT03184025,No
9662,NCT04015154,No
5874,NCT04307420,No
9644,NCT04024631,No
9642,NCT04025463,No
5988,NCT04140708,No
5975,NCT04587583,No
5976,NCT04571008,No
5977,NCT04517994,No
5978,NCT04515212,No
9632,NCT04038463,No
9631,NCT04038541,No
5981,NCT04356859,No
5982,NCT04293016,No
5983,NCT04275973,No
9630,NCT04038580,No
5985,NCT04232670,No
9629,NCT04038671,No
9628,NCT04038697,No
5990,NCT04051242,No
9641,NCT04026581,No
9626,NCT04038944,No
5992,NCT04001790,No
5993,NCT03984487,No
5994,NCT03927404,No
5995,NCT03921658,No
5996,NCT03900845,No
5997,NCT03898271,No
5998,NCT03873610,No
6000,NCT03851406,No
6001,NCT03803332,No
6002,NCT03789396,No
6003,NCT03769259,No
9622,NCT04044391,No
5972,NCT03029884,No
5971,NCT04162847,No
5969,NCT03763747,No
5968,NCT02367521,No
5879,NCT03486561,No
5893,NCT03453554,No
5895,NCT04446442,No
9639,NCT04027010,No
5900,NCT03433261,No
5902,NCT02632422,No
5906,NCT02006433,No
5920,NCT04021342,No
5921,NCT02139722,No
5922,NCT03662308,No
5924,NCT03341000,No
5930,NCT04169412,No
5934,NCT03121027,No
5936,NCT04261842,No
5937,NCT03736356,No
9637,NCT04033081,No
9636,NCT04033237,No
5938,NCT02319967,No
9635,NCT04036396,No
5942,NCT03725332,No
5945,NCT03685058,No
5946,NCT04210076,No
5950,NCT03526146,No
5955,NCT04255953,No
5960,NCT04120584,No
5961,NCT04073225,No
5967,NCT02632552,No
9675,NCT04002102,No
5693,NCT03707080,No
5690,NCT04540952,No
5504,NCT04011059,No
5462,NCT03429985,No
5463,NCT04561050,No
5464,NCT02828280,No
5472,NCT04297761,No
5473,NCT03944616,No
5474,NCT04564599,No
5484,NCT03750838,No
5485,NCT03551080,No
5486,NCT03533556,No
9719,NCT03970512,No
5491,NCT03501420,No
5502,NCT03538639,No
9716,NCT03975465,No
5505,NCT03716440,No
5539,NCT03839589,No
5506,NCT03487692,No
5512,NCT04567238,No
5513,NCT03294473,No
5515,NCT02759744,No
5521,NCT03175536,No
5523,NCT03478852,No
5524,NCT03517397,No
9712,NCT03976258,No
5527,NCT04592978,No
5528,NCT02592070,No
5530,NCT04036006,No
9710,NCT03979846,No
5537,NCT03860818,No
5459,NCT02974582,No
5443,NCT00391365,No
5439,NCT04482361,No
5437,NCT04160975,No
5362,NCT03451630,No
5366,NCT03116243,No
5367,NCT00341627,No
5372,NCT04431063,No
5373,NCT04294095,No
5374,NCT03971448,No
5378,NCT03297645,No
5380,NCT03681353,No
5391,NCT00305097,No
5393,NCT03438682,No
5396,NCT03956810,No
5401,NCT03327883,No
5403,NCT03125291,No
9725,NCT03963908,No
9724,NCT03964454,No
5410,NCT03542084,No
5411,NCT04313049,No
9722,NCT03966872,No
5412,NCT04429789,No
5420,NCT03815214,No
5421,NCT03590509,No
9720,NCT03969589,No
5424,NCT03658499,No
5426,NCT04308356,No
5427,NCT03056625,No
5432,NCT03551184,No
5434,NCT04217902,No
9709,NCT03979885,No
5544,NCT03246100,No
5685,NCT03933085,No
9683,NCT03997916,No
5631,NCT04132700,No
9687,NCT03995979,No
9686,NCT03996707,No
5633,NCT03098082,No
5637,NCT03822403,No
5639,NCT03326401,No
5640,NCT02393365,No
5641,NCT03579225,No
5642,NCT04103164,No
9685,NCT03997604,No
5648,NCT03048786,No
5649,NCT03114410,No
5650,NCT04251208,No
5661,NCT03226054,No
5546,NCT04492592,No
5665,NCT03231579,No
9681,NCT03999957,No
9680,NCT04000256,No
5669,NCT04311736,No
5672,NCT03813628,No
9678,NCT04000880,No
5674,NCT03913676,No
5675,NCT00958061,No
5678,NCT04087304,No
9677,NCT04001946,No
5681,NCT03409367,No
5682,NCT04535180,No
9676,NCT04002063,No
5630,NCT01410084,No
9688,NCT03995316,No
5626,NCT03107546,No
5618,NCT03759236,No
9707,NCT03980743,No
5007,NCT03020758,No
5559,NCT03429322,No
5561,NCT03579108,No
5570,NCT01458132,No
9702,NCT03982342,No
5575,NCT02546479,No
5577,NCT03294551,No
5578,NCT03505567,No
9701,NCT03983681,No
5583,NCT03612271,No
5589,NCT03158740,No
5591,NCT03552978,No
9700,NCT03984409,No
9699,NCT03984929,No
9698,NCT03984994,No
9696,NCT03985852,No
9695,NCT03989492,No
5599,NCT02829554,No
5600,NCT04170803,No
5601,NCT03733080,No
9694,NCT03990389,No
9693,NCT03990558,No
5611,NCT03259893,No
9691,NCT03993041,No
9690,NCT03993210,No
9689,NCT03993886,No
5010,NCT03000998,No
9096,NCT04506307,No
5004,NCT03501407,No
4094,NCT03422276,No
4114,NCT02840877,No
9908,NCT03823742,No
9909,NCT03823209,No
4109,NCT04131296,No
9911,NCT03822325,No
9913,NCT03820609,No
9915,NCT03819608,No
4119,NCT03314129,No
4086,NCT04604418,No
4083,NCT04266834,No
9917,NCT03819088,No
4078,NCT03937960,No
9919,NCT03818087,No
4075,NCT04259632,No
9906,NCT03825588,No
4120,NCT03209895,No
4068,NCT04018651,No
4134,NCT02961751,No
4146,NCT04000971,No
4143,NCT02893150,No
4140,NCT02354482,No
9900,NCT03831451,No
4136,NCT03400514,No
9902,NCT03828916,No
4131,NCT04336579,No
4123,NCT04171466,No
4130,NCT03777020,No
9904,NCT03828370,No
9905,NCT03825640,No
4127,NCT04422873,No
4126,NCT04427800,No
4125,NCT04139928,No
4071,NCT04202900,No
4065,NCT01714323,No
4148,NCT03055858,No
3997,NCT01850082,No
4007,NCT03064932,No
4006,NCT03032770,No
4005,NCT04435873,No
4002,NCT02446626,No
3999,NCT04434313,No
3998,NCT03903146,No
9930,NCT03810508,No
9928,NCT03811405,No
3993,NCT03683394,No
9933,NCT03807635,No
3981,NCT04219566,No
3970,NCT04548895,No
3968,NCT04023604,No
9935,NCT03804827,No
4011,NCT04040881,No
4025,NCT02564653,No
4064,NCT04351841,No
4047,NCT03504826,No
9920,NCT03817970,No
9921,NCT03814850,No
4058,NCT03486405,No
9922,NCT03814473,No
9923,NCT03813966,No
4049,NCT03031457,No
9924,NCT03813524,No
4028,NCT03340012,No
4040,NCT02005445,No
4036,NCT04530032,No
9925,NCT03812614,No
4033,NCT00004342,No
9926,NCT03812146,No
9927,NCT03811444,No
4147,NCT02923193,No
4149,NCT04477304,No
4341,NCT03163589,No
4279,NCT03753373,No
4299,NCT04137757,No
9876,NCT03848650,No
4290,NCT04180930,No
4289,NCT03165591,No
4285,NCT03984227,No
4281,NCT04278183,No
4278,NCT03175640,No
4304,NCT03945162,No
9879,NCT03847194,No
4276,NCT04398901,No
4272,NCT03571750,No
4269,NCT03337139,No
9880,NCT03845465,No
4267,NCT03572595,No
9875,NCT03848923,No
9874,NCT03848962,No
4259,NCT04484090,No
4327,NCT03653195,No
4340,NCT04557761,No
9869,NCT03851016,No
4336,NCT04176627,No
4333,NCT04375293,No
4331,NCT03315442,No
4328,NCT03172741,No
4326,NCT04534621,No
9873,NCT03849144,No
9870,NCT03850600,No
9871,NCT03849937,No
4317,NCT04112173,No
4316,NCT03674775,No
4313,NCT04609514,No
4312,NCT03430973,No
4262,NCT04213508,No
4252,NCT00321971,No
9899,NCT03832478,No
4177,NCT03352115,No
4192,NCT03093662,No
4191,NCT03765593,No
4188,NCT04423458,No
9894,NCT03836950,No
4180,NCT03008837,No
4178,NCT04536298,No
4174,NCT03264521,No
4201,NCT03726320,No
4169,NCT03180723,No
9896,NCT03833713,No
4168,NCT01336764,No
9897,NCT03833349,No
4164,NCT03499860,No
9898,NCT03833245,No
9892,NCT03837522,No
4203,NCT04047147,No
4251,NCT04180423,No
9884,NCT03842670,No
4248,NCT03957577,No
4246,NCT03251794,No
4235,NCT04526418,No
4234,NCT03521817,No
4231,NCT03172962,No
4228,NCT02755818,No
9886,NCT03841864,No
9890,NCT03838510,No
9887,NCT03841513,No
4217,NCT04258722,No
4209,NCT03356340,No
4208,NCT02976831,No
9888,NCT03840798,No
9889,NCT03839745,No
3963,NCT03495284,No
3962,NCT03464188,No
9936,NCT03804593,No
3591,NCT04043130,No
3617,NCT03148496,No
3611,NCT04371887,No
3604,NCT04306445,No
3600,NCT04496466,No
3597,NCT04570579,No
9984,NCT03773419,No
3588,NCT03860259,No
3622,NCT04141605,No
3583,NCT04428112,No
3579,NCT03253783,No
3578,NCT04144062,No
3577,NCT01389726,No
3576,NCT04005924,No
3571,NCT04262791,No
9981,NCT03775590,No
3626,NCT01188070,No
3561,NCT03251989,No
9975,NCT03779997,No
9971,NCT03782493,No
3686,NCT03650556,No
3685,NCT03571893,No
3667,NCT03734523,No
3665,NCT04009070,No
9973,NCT03781856,No
9976,NCT03779269,No
3633,NCT03830307,No
3651,NCT04135404,No
9978,NCT03777384,No
3649,NCT02600936,No
3640,NCT03304912,No
9979,NCT03777046,No
3634,NCT03555266,No
3563,NCT03786471,No
3559,NCT04069832,No
3960,NCT03286179,No
3434,NCT04526158,No
3449,NCT03891381,No
3447,NCT03217201,No
3441,NCT03184792,No
3438,NCT03177941,No
9996,NCT03768206,No
3435,NCT04377204,No
3433,NCT03225131,No
3459,NCT03161470,No
9998,NCT03767595,No
3424,NCT03338257,No
3419,NCT03060291,No
3418,NCT02180139,No
3413,NCT04133376,No
3412,NCT04408352,No
9993,NCT03769727,No
3477,NCT04345562,No
3553,NCT03201029,No
9989,NCT03771235,No
3552,NCT03736486,No
3544,NCT03520530,No
3530,NCT03009968,No
3526,NCT04075162,No
3525,NCT03455530,No
3519,NCT03981835,No
3514,NCT00451022,No
9992,NCT03769961,No
9990,NCT03770832,No
3506,NCT02352389,No
3500,NCT04434352,No
3499,NCT04420156,No
9991,NCT03770377,No
3493,NCT03231592,No
9970,NCT03782506,No
9969,NCT03785288,No
3693,NCT03218787,No
3863,NCT04302727,No
3887,NCT02957799,No
9944,NCT03800927,No
3885,NCT03146897,No
3876,NCT04605783,No
3874,NCT03925337,No
9946,NCT03799640,No
3855,NCT03193879,No
3895,NCT04246424,No
3854,NCT04176107,No
3852,NCT04588662,No
9948,NCT03797898,No
3849,NCT03263975,No
9950,NCT03796559,No
3841,NCT04436198,No
3894,NCT04296344,No
3897,NCT04142723,No
3695,NCT03107468,No
3937,NCT03242070,No
3950,NCT03596151,No
3949,NCT04243343,No
3946,NCT03259373,No
3944,NCT03106233,No
3943,NCT04577599,No
9939,NCT03803683,No
3927,NCT03354663,No
9941,NCT03803488,No
3924,NCT04431622,No
3921,NCT01589692,No
3919,NCT03343795,No
3917,NCT03684070,No
3913,NCT02583178,No
3906,NCT03852316,No
9951,NCT03796286,No
3829,NCT04450966,No
9952,NCT03796065,No
9959,NCT03792698,No
3756,NCT01404910,No
3754,NCT03834142,No
3753,NCT03284541,No
3751,NCT03418870,No
3749,NCT03869515,No
3748,NCT04335929,No
9962,NCT03788486,No
