,NCTId,IsFDARegulatedDrug
9953,NCT03795701,No
3741,NCT02347202,No
3739,NCT04545320,No
3732,NCT03059004,No
9966,NCT03786055,No
3724,NCT04240288,No
9967,NCT03785392,No
3758,NCT03421626,No
3759,NCT03966755,No
3760,NCT04082338,No
3762,NCT03935828,No
3767,NCT04583072,No
3768,NCT03850223,No
3770,NCT04538495,No
3771,NCT03339245,No
3774,NCT04023357,No
9957,NCT03794011,No
3779,NCT03445403,No
9956,NCT03794102,No
9955,NCT03795051,No
9954,NCT03795168,No
3809,NCT03125460,No
3814,NCT03407625,No
3815,NCT00001163,No
9868,NCT03852485,No
4343,NCT03309163,No
9781,NCT03916809,No
4777,NCT04287257,No
4791,NCT04335331,No
4790,NCT03971318,No
4788,NCT04334824,No
6005,NCT03719495,No
4781,NCT03578939,No
4778,NCT02021838,No
4776,NCT03046069,No
4799,NCT04414371,No
4773,NCT03499509,No
4771,NCT04509622,No
9805,NCT03899181,No
4769,NCT03971305,No
4768,NCT01622959,No
4761,NCT03490682,No
4798,NCT03953794,No
4805,NCT03845985,No
4758,NCT03327103,No
9799,NCT03904043,No
4848,NCT03658954,No
4841,NCT04297228,No
4840,NCT03940209,No
4836,NCT04169867,No
9797,NCT03904420,No
9798,NCT03904407,No
9800,NCT03902600,No
4806,NCT03065647,No
4820,NCT04442867,No
9801,NCT03902171,No
4816,NCT03794882,No
4812,NCT03656679,No
4811,NCT04294342,No
4810,NCT04499495,No
9806,NCT03898570,No
4757,NCT03645941,No
4851,NCT04557345,No
9813,NCT03890107,No
4724,NCT03595410,No
4723,NCT04034784,No
9812,NCT03890471,No
4720,NCT04049045,No
4719,NCT03274713,No
4716,NCT04577911,No
4715,NCT03512730,No
4728,NCT04119206,No
4713,NCT04542005,No
4712,NCT03259178,No
4706,NCT04474080,No
4701,NCT04246528,No
9816,NCT03884374,No
4699,NCT04478357,No
4727,NCT03247803,No
4729,NCT04266210,No
4755,NCT04171336,No
4742,NCT03641742,No
4750,NCT03245879,No
4749,NCT04352634,No
9807,NCT03898115,No
4748,NCT04108702,No
4747,NCT04236271,No
4745,NCT04516252,No
9809,NCT03897140,No
4730,NCT03366363,No
4741,NCT04092400,No
4738,NCT03634852,No
4736,NCT04431661,No
4735,NCT04450914,No
4734,NCT03914781,No
4733,NCT03280979,No
9796,NCT03904615,No
4852,NCT03277846,No
4347,NCT03502278,No
4941,NCT03185832,No
9787,NCT03913169,No
9788,NCT03912363,No
4946,NCT04040504,No
4945,NCT03272438,No
4944,NCT04143113,No
4943,NCT03271203,No
4939,NCT03030508,No
4954,NCT02299115,No
4937,NCT04271462,No
4936,NCT03833375,No
4935,NCT04549493,No
4933,NCT03042182,No
4927,NCT03389581,No
4926,NCT03654118,No
4951,NCT04055688,No
4955,NCT03230669,No
4923,NCT04273152,No
9783,NCT03914573,No
1,NCT04474496,No
4994,NCT04043689,No
4989,NCT04071327,No
4986,NCT03230305,No
9782,NCT03915015,No
4984,NCT03693313,No
4979,NCT04030273,No
4961,NCT03106363,No
9784,NCT03914469,No
4972,NCT03305393,No
4970,NCT03102086,No
4965,NCT04424823,No
4962,NCT03168698,No
9785,NCT03913494,No
4924,NCT03567837,No
4919,NCT03554785,No
4853,NCT04525326,No
9793,NCT03907449,No
4875,NCT03379961,No
4874,NCT04464187,No
4871,NCT02676024,No
4869,NCT03214757,No
4868,NCT03800394,No
4867,NCT03975400,No
4863,NCT04095910,No
4878,NCT04113811,No
9794,NCT03906630,No
4861,NCT03083431,No
9795,NCT03906461,No
4856,NCT04007419,No
4855,NCT04159454,No
4854,NCT00129701,No
4877,NCT03540745,No
4881,NCT03308903,No
4911,NCT04379063,No
4900,NCT03305497,No
9791,NCT03908996,No
4909,NCT03419728,No
4907,NCT01721473,No
4904,NCT03111810,No
4903,NCT02443220,No
4901,NCT03969264,No
4899,NCT04446728,No
4882,NCT03143049,No
4897,NCT02414529,No
4896,NCT03674801,No
9792,NCT03907917,No
4891,NCT04036032,No
4885,NCT03971227,No
4884,NCT04517006,No
4698,NCT03639025,No
4697,NCT03168490,No
4695,NCT03239782,No
4478,NCT03433053,No
4496,NCT04518657,No
4490,NCT04191473,No
4489,NCT04245124,No
4487,NCT03352479,No
9843,NCT03869216,No
9844,NCT03867877,No
4475,NCT03909503,No
4500,NCT00418899,No
4473,NCT03284372,No
4472,NCT04211077,No
4471,NCT04557241,No
4469,NCT00570297,No
4466,NCT04395781,No
9847,NCT03867344,No
4497,NCT04356027,No
4502,NCT03452514,No
9849,NCT03866616,No
4519,NCT04247646,No
9837,NCT03874637,No
9838,NCT03874507,No
4527,NCT03132857,No
4523,NCT03897764,No
4520,NCT03266783,No
9839,NCT03874351,No
4518,NCT03303859,No
4503,NCT04579601,No
4511,NCT03593330,No
4509,NCT03955874,No
9841,NCT03873545,No
4506,NCT03543891,No
9842,NCT03873259,No
4504,NCT03655730,No
9848,NCT03867045,No
9850,NCT03866005,No
4693,NCT02258256,No
4376,NCT03360422,No
4391,NCT03714711,No
4389,NCT03404986,No
9863,NCT03858777,No
9864,NCT03856034,No
4382,NCT04139187,No
4377,NCT04379830,No
4372,NCT03483805,No
4397,NCT04569344,No
4368,NCT04059705,No
4365,NCT04418856,No
9865,NCT03855410,No
9866,NCT03854916,No
4352,NCT04561804,No
4351,NCT03159234,No
4393,NCT03351088,No
4398,NCT03719963,No
9851,NCT03865979,No
9859,NCT03863327,No
9852,NCT03865381,No
9854,NCT03864965,No
9855,NCT03864146,No
9856,NCT03863743,No
9857,NCT03863522,No
9858,NCT03863353,No
9861,NCT03861832,No
4399,NCT04293536,No
4419,NCT02799836,No
4414,NCT02945501,No
4408,NCT04334707,No
4406,NCT04204018,No
4404,NCT04266821,No
4402,NCT03579329,No
9834,NCT03875339,No
4532,NCT04386577,No
4534,NCT00656955,No
4628,NCT01695252,No
4651,NCT03486093,No
4646,NCT04384263,No
4643,NCT03494283,No
4634,NCT04263025,No
9824,NCT03881267,No
4629,NCT03982576,No
9825,NCT03881241,No
4654,NCT04516824,No
9826,NCT03881098,No
4625,NCT02476630,No
4623,NCT04427995,No
4622,NCT04568369,No
4619,NCT03747783,No
4618,NCT03598660,No
4652,NCT04198974,No
4657,NCT04171180,No
4535,NCT03660917,No
4674,NCT03683589,No
4692,NCT03494244,No
4685,NCT04075903,No
4684,NCT04580017,No
4682,NCT04044261,No
4681,NCT04401631,No
4676,NCT04598399,No
4667,NCT03780985,No
4658,NCT03437837,No
9821,NCT03881891,No
4666,NCT03482206,No
4665,NCT03711981,No
4664,NCT04512157,No
4663,NCT04349020,No
4660,NCT03831724,No
4612,NCT03584113,No
4611,NCT03183401,No
9828,NCT03878758,No
4559,NCT01747447,No
4568,NCT01954901,No
4567,NCT02023723,No
4565,NCT02661334,No
4564,NCT03021616,No
4563,NCT03418077,No
4562,NCT04451070,No
4551,NCT04596904,No
4607,NCT03804242,No
4549,NCT03905928,No
4548,NCT03403257,No
9832,NCT03876223,No
4545,NCT03828877,No
4539,NCT02774434,No
4537,NCT03890497,No
4569,NCT03853304,No
4570,NCT04385524,No
4574,NCT04203199,No
4576,NCT04026009,No
9831,NCT03877003,No
4577,NCT03579706,No
4578,NCT03176420,No
4581,NCT04368117,No
9829,NCT03878745,No
4584,NCT01704859,No
4587,NCT03613623,No
4589,NCT03710694,No
4596,NCT04163224,No
4597,NCT03655587,No
4599,NCT03859362,No
4600,NCT03953924,No
4606,NCT04092530,No
4782,NCT03333876,No
6337,NCT04213664,No
6006,NCT03708276,No
9306,NCT04309812,No
9300,NCT04315883,No
9302,NCT04314778,No
8168,NCT01958437,No
8167,NCT03523507,No
9305,NCT04309825,No
8161,NCT03569059,No
9307,NCT04307004,No
8179,NCT03446833,No
9308,NCT04306211,No
8147,NCT03325946,No
9311,NCT04305613,No
9312,NCT04305600,No
8141,NCT04212351,No
8140,NCT03205709,No
9299,NCT04316715,No
8185,NCT02266576,No
8229,NCT03740139,No
8205,NCT03181022,No
8225,NCT04204447,No
8217,NCT03227575,No
8216,NCT03202277,No
9295,NCT04319094,No
8209,NCT03459118,No
8207,NCT03313375,No
8204,NCT04189523,No
8186,NCT01343056,No
8203,NCT03865758,No
8202,NCT03278340,No
9297,NCT04317586,No
8199,NCT03057119,No
9298,NCT04317417,No
8190,NCT04501536,No
8136,NCT02566317,No
9316,NCT04304495,No
9317,NCT04302948,No
8067,NCT04332172,No
8088,NCT03893708,No
8076,NCT02967016,No
8075,NCT03874793,No
9323,NCT04295135,No
8070,NCT03555331,No
8068,NCT04083690,No
8058,NCT04464993,No
8121,NCT04007913,No
8056,NCT03710109,No
8049,NCT01408147,No
8039,NCT03771417,No
8033,NCT03625570,No
9328,NCT04293406,No
8032,NCT04080128,No
8089,NCT03489434,No
8092,NCT03481049,No
8093,NCT02952352,No
8094,NCT02825771,No
9321,NCT04298281,No
8097,NCT03772210,No
8098,NCT03582566,No
8101,NCT03887793,No
9319,NCT04300478,No
9318,NCT04300777,No
8107,NCT04043936,No
8108,NCT03694418,No
8109,NCT03312387,No
8115,NCT04441307,No
8117,NCT03730259,No
8118,NCT03637296,No
8119,NCT03769740,No
8226,NCT03810365,No
9292,NCT04319952,No
9329,NCT04292600,No
8367,NCT03774186,No
8382,NCT03342872,No
8380,NCT03458013,No
8378,NCT04418934,No
9272,NCT04337021,No
8373,NCT03929939,No
9273,NCT04336774,No
8366,NCT04548596,No
8391,NCT02860442,No
9276,NCT04334356,No
8346,NCT03848312,No
8344,NCT04427527,No
8343,NCT03737318,No
8341,NCT02955537,No
8340,NCT04254562,No
8388,NCT04300049,No
9271,NCT04339998,No
8233,NCT03130699,No
8411,NCT03649958,No
8439,NCT02511301,No
8436,NCT03333252,No
8434,NCT03885232,No
8430,NCT02808702,No
8428,NCT03613038,No
8412,NCT03832933,No
9269,NCT04340622,No
9270,NCT04340570,No
8407,NCT02708069,No
8406,NCT04372823,No
8405,NCT03781154,No
8402,NCT03461783,No
8398,NCT02706964,No
8396,NCT02693327,No
9277,NCT04332861,No
9279,NCT04330716,No
9280,NCT04330482,No
9289,NCT04322162,No
8269,NCT04117022,No
8267,NCT03917979,No
8266,NCT03584945,No
8265,NCT03872856,No
8264,NCT04491591,No
8262,NCT03840096,No
8257,NCT03634397,No
8326,NCT03206775,No
8246,NCT03028948,No
9290,NCT04321356,No
8244,NCT04150055,No
8242,NCT04492462,No
9291,NCT04320381,No
8236,NCT03511001,No
8270,NCT03170700,No
9288,NCT04322448,No
9287,NCT04323176,No
9286,NCT04323254,No
9285,NCT04327596,No
8294,NCT03280836,No
8297,NCT04206787,No
8299,NCT03383666,No
8305,NCT03367845,No
8306,NCT04567394,No
8307,NCT04208685,No
8311,NCT04097353,No
8314,NCT03404219,No
8315,NCT03637972,No
8317,NCT03717233,No
9281,NCT04330391,No
8319,NCT04514471,No
8024,NCT03343106,No
8018,NCT04075877,No
8446,NCT04357964,No
7746,NCT04012749,No
7759,NCT03971435,No
7754,NCT03255941,No
7753,NCT04092114,No
7752,NCT04312334,No
7751,NCT03529695,No
7750,NCT03453866,No
7744,NCT03308812,No
7764,NCT01138917,No
9365,NCT04258319,No
7737,NCT03774602,No
7736,NCT03210415,No
7732,NCT03158558,No
9366,NCT04257474,No
7729,NCT04248088,No
7763,NCT04287075,No
7765,NCT04098419,No
9355,NCT04268745,No
7788,NCT01957813,No
7802,NCT04484649,No
7800,NCT03798548,No
9359,NCT04263259,No
7796,NCT03334266,No
9360,NCT04263233,No
7792,NCT04023487,No
7787,NCT03325062,No
7766,NCT03441867,No
7785,NCT04393246,No
7784,NCT04072757,No
7783,NCT04201613,No
9362,NCT04262180,No
7781,NCT03594734,No
9363,NCT04260048,No
7728,NCT03916796,No
7722,NCT04115813,No
7721,NCT04160169,No
9373,NCT04254003,No
7687,NCT04053842,No
7685,NCT03478553,No
7684,NCT03502096,No
7683,NCT03935282,No
7681,NCT03753360,No
7680,NCT03000374,No
7679,NCT03289130,No
7720,NCT04244799,No
9374,NCT04253782,No
7677,NCT03677674,No
7674,NCT03170297,No
9375,NCT04252040,No
7673,NCT03266120,No
7671,NCT03865901,No
9372,NCT04254653,No
7691,NCT02052037,No
9371,NCT04254666,No
7693,NCT03406013,No
7697,NCT04016909,No
7700,NCT04055181,No
7702,NCT03371225,No
9368,NCT04257045,No
7704,NCT02088671,No
7705,NCT04377412,No
7707,NCT03198754,No
7709,NCT02764528,No
7710,NCT04379414,No
7711,NCT02843178,No
7714,NCT04133766,No
7715,NCT03555435,No
7716,NCT04044235,No
7803,NCT03250364,No
7811,NCT04243265,No
8014,NCT03176004,No
7921,NCT03932799,No
7958,NCT03991182,No
9340,NCT04280653,No
7939,NCT03360799,No
7935,NCT03567018,No
7933,NCT03984747,No
7925,NCT01107626,No
7920,NCT03141567,No
7965,NCT02865187,No
7908,NCT03271307,No
7907,NCT03455127,No
7906,NCT03631719,No
7905,NCT04034381,No
7904,NCT04119375,No
7903,NCT04216030,No
7959,NCT03343158,No
9338,NCT04283539,No
9354,NCT04269161,No
7997,NCT02132650,No
8012,NCT02912078,No
8011,NCT03896165,No
8010,NCT03736382,No
8009,NCT04026295,No
8000,NCT04498975,No
9333,NCT04288752,No
9334,NCT04287374,No
7969,NCT03341858,No
7994,NCT03537729,No
9335,NCT04285814,No
7989,NCT04032106,No
9337,NCT04283630,No
7980,NCT00775645,No
7971,NCT02169024,No
7902,NCT02848235,No
7898,NCT03884816,No
7896,NCT03124277,No
7840,NCT03872375,No
7859,NCT04137250,No
7857,NCT02697422,No
7854,NCT03014414,No
7843,NCT04345393,No
7842,NCT01615237,No
7841,NCT03191253,No
7838,NCT04281264,No
7888,NCT03135366,No
7837,NCT04378309,No
7832,NCT01504308,No
9351,NCT04270474,No
9352,NCT04269772,No
7818,NCT03208686,No
7817,NCT03376633,No
7860,NCT04465708,No
7861,NCT03862963,No
7864,NCT03328572,No
7866,NCT03823898,No
7870,NCT03744507,No
7872,NCT04027218,No
9347,NCT04274764,No
7876,NCT03817736,No
7878,NCT03563040,No
9346,NCT04276194,No
9345,NCT04276805,No
9344,NCT04278157,No
7880,NCT03511443,No
7885,NCT03944395,No
7886,NCT03880006,No
7887,NCT03371186,No
9342,NCT04279587,No
9263,NCT04342728,No
9262,NCT04342871,No
6008,NCT03673371,No
9147,NCT04463992,No
8977,NCT04609085,No
8976,NCT04437069,No
9145,NCT04466644,No
8971,NCT04182334,No
8969,NCT03370614,No
8968,NCT03185546,No
8966,NCT03149185,No
9144,NCT04467099,No
8965,NCT02728076,No
8964,NCT03233594,No
8962,NCT04066894,No
8961,NCT03718104,No
8960,NCT03595748,No
9148,NCT04463719,No
8978,NCT04608773,No
8981,NCT04606030,No
9001,NCT04588025,No
8992,NCT04596241,No
8998,NCT04592601,No
8997,NCT04592783,No
8996,NCT04593693,No
8994,NCT04594902,No
8993,NCT04595903,No
9138,NCT04473430,No
8991,NCT04597957,No
8982,NCT04605965,No
8990,NCT04598035,No
9139,NCT04472026,No
8988,NCT04599751,No
9140,NCT04471207,No
8986,NCT04604015,No
8984,NCT04605198,No
8958,NCT03410823,No
8956,NCT03611660,No
8954,NCT04331366,No
8887,NCT03796208,No
9160,NCT04449510,No
8909,NCT03609671,No
8906,NCT02564341,No
9162,NCT04448002,No
8890,NCT03422367,No
8888,NCT03383848,No
8886,NCT02522923,No
8953,NCT04606966,No
8881,NCT03241732,No
8880,NCT03600532,No
8875,NCT04019977,No
8873,NCT00759746,No
8867,NCT03095391,No
9165,NCT04441593,No
9158,NCT04452201,No
9157,NCT04452331,No
8921,NCT03687086,No
8922,NCT03859011,No
8924,NCT03808675,No
8925,NCT04068662,No
8931,NCT03895021,No
8932,NCT03951064,No
9155,NCT04456140,No
9153,NCT04459416,No
8938,NCT03890029,No
8939,NCT04475718,No
8943,NCT03935048,No
8944,NCT03869970,No
8948,NCT04571502,No
8951,NCT03197454,No
8952,NCT04157270,No
9000,NCT04591288,No
9002,NCT04587804,No
8860,NCT03945552,No
9063,NCT04539158,No
9071,NCT04528446,No
9070,NCT04530500,No
9069,NCT04531514,No
9067,NCT04534660,No
9065,NCT04538963,No
9064,NCT04539002,No
9062,NCT04539821,No
9104,NCT04499781,No
9106,NCT04497363,No
9107,NCT04497129,No
9109,NCT04495348,No
9057,NCT04542551,No
9056,NCT04545047,No
9055,NCT04545957,No
9072,NCT04526808,No
9103,NCT04499937,No
9004,NCT04586530,No
9086,NCT04516213,No
9093,NCT04508751,No
9097,NCT04506294,No
9091,NCT04511338,No
9090,NCT04513899,No
9089,NCT04513990,No
9088,NCT04514757,No
9084,NCT04517734,No
9101,NCT04502316,No
9083,NCT04518059,No
9082,NCT04519957,No
9081,NCT04523155,No
9080,NCT04523337,No
9079,NCT04523636,No
9077,NCT04524715,No
9053,NCT04546763,No
9051,NCT04549051,No
9050,NCT04549077,No
9016,NCT04577976,No
9022,NCT04572581,No
9021,NCT04575090,No
9020,NCT04576247,No
9128,NCT04481919,No
9129,NCT04480346,No
9017,NCT04577313,No
9014,NCT04579926,No
9112,NCT04494945,No
9013,NCT04580524,No
9012,NCT04580667,No
9131,NCT04479943,No
9009,NCT04582214,No
9008,NCT04582617,No
9005,NCT04584762,No
9023,NCT04570930,No
9027,NCT04568395,No
9028,NCT04567719,No
9029,NCT04566874,No
9031,NCT04565509,No
9032,NCT04565353,No
9033,NCT04565119,No
9034,NCT04564443,No
9123,NCT04484805,No
9119,NCT04485767,No
9041,NCT04558541,No
9042,NCT04556227,No
9043,NCT04556175,No
9117,NCT04486560,No
9115,NCT04488055,No
9114,NCT04491175,No
9113,NCT04494698,No
8865,NCT03256110,No
8857,NCT03454022,No
8448,NCT04253483,No
9236,NCT04368702,No
9229,NCT04374760,No
8611,NCT03653637,No
8609,NCT03200366,No
8598,NCT03051997,No
8594,NCT03581136,No
9235,NCT04370002,No
8573,NCT03574974,No
8622,NCT03616171,No
9238,NCT04367246,No
9239,NCT04365543,No
8568,NCT04502524,No
8564,NCT02835495,No
8563,NCT03398902,No
8561,NCT03622697,No
9226,NCT04378270,No
9225,NCT04378751,No
9210,NCT04388748,No
9219,NCT04382391,No
8671,NCT04042909,No
9214,NCT04386291,No
8661,NCT03629678,No
9216,NCT04384055,No
8653,NCT03494166,No
9218,NCT04382963,No
9220,NCT04380415,No
9224,NCT04378790,No
9221,NCT04380311,No
8647,NCT03238456,No
8643,NCT03932032,No
9222,NCT04379843,No
8637,NCT03608085,No
8625,NCT03310918,No
8559,NCT04051229,No
9241,NCT04364282,No
9242,NCT04360824,No
8485,NCT03933345,No
9253,NCT04351880,No
8501,NCT03582683,No
8500,NCT03841682,No
8498,NCT02224352,No
8491,NCT03778177,No
9254,NCT04350359,No
8481,NCT02710318,No
8557,NCT03281161,No
9256,NCT04349202,No
8474,NCT01804452,No
8472,NCT03533829,No
9259,NCT04344561,No
8459,NCT04309370,No
8450,NCT03677739,No
8510,NCT04473729,No
8513,NCT03849716,No
8518,NCT03602456,No
8520,NCT04258332,No
8521,NCT04018092,No
9250,NCT04354454,No
8523,NCT03731598,No
8533,NCT02605200,No
8538,NCT04170062,No
9247,NCT04355650,No
8541,NCT03199196,No
8543,NCT03674944,No
8544,NCT03267043,No
8545,NCT04580810,No
9245,NCT04357717,No
9244,NCT04359108,No
9243,NCT04359199,No
9211,NCT04388488,No
9209,NCT04389957,No
8856,NCT03905720,No
8790,NCT03300297,No
9176,NCT04427202,No
9177,NCT04426838,No
9178,NCT04426526,No
9179,NCT04424576,No
8796,NCT03852030,No
8792,NCT03283553,No
8789,NCT03947983,No
8810,NCT03136094,No
8785,NCT04123223,No
8784,NCT03750409,No
9184,NCT04417946,No
8782,NCT03135756,No
8781,NCT03199079,No
8779,NCT03212677,No
8803,NCT01921179,No
9175,NCT04428580,No
8693,NCT03868930,No
8832,NCT03995667,No
8846,NCT03471221,No
8845,NCT04149639,No
8842,NCT03592771,No
9168,NCT04437732,No
8837,NCT03784846,No
9171,NCT04433975,No
8831,NCT03727815,No
9174,NCT04429568,No
8829,NCT02871921,No
9172,NCT04432727,No
8827,NCT02853149,No
9173,NCT04430010,No
8823,NCT04407767,No
8822,NCT02905929,No
8771,NCT03377855,No
8769,NCT02754557,No
8767,NCT03354585,No
8709,NCT02022423,No
9195,NCT04404894,No
9196,NCT04404855,No
8722,NCT04524104,No
9198,NCT04403737,No
8715,NCT04154618,No
9200,NCT04401449,No
9201,NCT04400903,No
8764,NCT03261661,No
8708,NCT01941810,No
8705,NCT02295059,No
8701,NCT04118972,No
9205,NCT04393155,No
9206,NCT04392323,No
8695,NCT03705325,No
8728,NCT03722316,No
8729,NCT04542642,No
9194,NCT04406935,No
8736,NCT03315663,No
8737,NCT03126981,No
8740,NCT01954576,No
9192,NCT04409236,No
9190,NCT04410627,No
9188,NCT04411823,No
8748,NCT02140021,No
8751,NCT03932773,No
9187,NCT04414982,No
8753,NCT04458194,No
8754,NCT03183050,No
8758,NCT03564522,No
8762,NCT04481568,No
8763,NCT04179721,No
7669,NCT04377581,No
7668,NCT04178538,No
7664,NCT03393637,No
6573,NCT03259386,No
6591,NCT03798184,No
6588,NCT04134273,No
9518,NCT04118998,No
9522,NCT04115735,No
9524,NCT04114942,No
9525,NCT04113746,No
6568,NCT03738774,No
9515,NCT04121364,No
6566,NCT04306549,No
6562,NCT04562779,No
9526,NCT04112433,No
6553,NCT04392557,No
6551,NCT03409575,No
6550,NCT04495686,No
9516,NCT04121312,No
6598,NCT03992183,No
6643,NCT00342992,No
6622,NCT04261738,No
6640,NCT03869671,No
6634,NCT03551483,No
6629,NCT04168450,No
6628,NCT04549532,No
6627,NCT03167658,No
6624,NCT03221530,No
6621,NCT04026802,No
6599,NCT03547869,No
6618,NCT02036931,No
6617,NCT04044326,No
6616,NCT03250156,No
6615,NCT04130984,No
9514,NCT04121858,No
6609,NCT04045938,No
9527,NCT04110522,No
6547,NCT03539315,No
6544,NCT03503695,No
6495,NCT02113410,No
6507,NCT04522258,No
6503,NCT04154462,No
6500,NCT03924674,No
6498,NCT04604821,No
6497,NCT03259646,No
6496,NCT04520984,No
9543,NCT04095481,No
6541,NCT01420016,No
6494,NCT04304833,No
6492,NCT03244475,No
6488,NCT04365270,No
6487,NCT03381885,No
6485,NCT03645551,No
9545,NCT04094363,No
6508,NCT04419948,No
6512,NCT03726463,No
9542,NCT04096937,No
6519,NCT03820921,No
6520,NCT03867812,No
9541,NCT04097717,No
6523,NCT03862924,No
6525,NCT03848806,No
6526,NCT03069144,No
9538,NCT04103385,No
9537,NCT04103619,No
9536,NCT04103931,No
9535,NCT04104191,No
9533,NCT04104737,No
9532,NCT04107610,No
9528,NCT04110236,No
6538,NCT03889392,No
6642,NCT03885700,No
6650,NCT03593187,No
6483,NCT01492348,No
6768,NCT03996876,No
6774,NCT03342482,No
6773,NCT03409133,No
6772,NCT03440554,No
9488,NCT04145895,No
6770,NCT03564795,No
6769,NCT03678766,No
9489,NCT04145791,No
9484,NCT04150848,No
6764,NCT04416412,No
6763,NCT04598386,No
6761,NCT04124523,No
6756,NCT03029507,No
6754,NCT03883009,No
6752,NCT03762291,No
9485,NCT04149249,No
6798,NCT03030703,No
6652,NCT04169529,No
6841,NCT04534959,No
6857,NCT03772730,No
6855,NCT02878850,No
6854,NCT04100564,No
9475,NCT04162678,No
9476,NCT04162145,No
6842,NCT03264235,No
6831,NCT03889028,No
6806,NCT04029298,No
9481,NCT04152707,No
6818,NCT04176328,No
6814,NCT03939507,No
6813,NCT03366532,No
6812,NCT04595344,No
6809,NCT03973606,No
6748,NCT04311320,No
6747,NCT03953911,No
6744,NCT02991690,No
6670,NCT00430313,No
6685,NCT03504085,No
6684,NCT03619369,No
9511,NCT04124419,No
6679,NCT04171960,No
6676,NCT04265690,No
6671,NCT04466423,No
6662,NCT03394703,No
6743,NCT03221777,No
6659,NCT03887247,No
6658,NCT01574300,No
6655,NCT01876771,No
6654,NCT04197011,No
6653,NCT03378167,No
9513,NCT04123041,No
6687,NCT03312621,No
9505,NCT04128618,No
6690,NCT04205656,No
9502,NCT04131647,No
9501,NCT04131946,No
6693,NCT03833674,No
