,NCTId,IsFDARegulatedDrug
9500,NCT04132869,No
6695,NCT03433300,No
9495,NCT04138953,No
9494,NCT04142229,No
6723,NCT00464724,No
6734,NCT03211819,No
6735,NCT04074486,No
6739,NCT03302299,No
6740,NCT03680456,No
6741,NCT04421235,No
6742,NCT03415412,No
6484,NCT04372329,No
6482,NCT03524482,No
7663,NCT03059082,No
6193,NCT03482336,No
6215,NCT03787485,No
6214,NCT03113786,No
6206,NCT04517396,No
6204,NCT04347629,No
6199,NCT03693924,No
6194,NCT04560946,No
9589,NCT04066218,No
9587,NCT04068857,No
6191,NCT01873573,No
6172,NCT00409968,No
9593,NCT04059107,No
9594,NCT04058795,No
9597,NCT04057183,No
6143,NCT00851253,No
6220,NCT03030716,No
9586,NCT04068883,No
6291,NCT03892746,No
6250,NCT04283513,No
6289,NCT03600324,No
9576,NCT04077190,No
9577,NCT04076813,No
9578,NCT04075682,No
6262,NCT01769612,No
6251,NCT04203186,No
9580,NCT04073914,No
9585,NCT04071951,No
6246,NCT03883477,No
9581,NCT04073212,No
9582,NCT04072549,No
6229,NCT04562012,No
6227,NCT04182659,No
6224,NCT04458350,No
6142,NCT00852644,No
6141,NCT00853528,No
6133,NCT01000077,No
6018,NCT03418129,No
9610,NCT04049643,No
9613,NCT04048590,No
9614,NCT04047836,No
9615,NCT04047602,No
6020,NCT03390335,No
6019,NCT03402035,No
6017,NCT03423394,No
6110,NCT01373489,No
6015,NCT03530163,No
9617,NCT04047277,No
6013,NCT03551678,No
9619,NCT04044924,No
9620,NCT04044521,No
6009,NCT03668873,No
6028,NCT03197896,No
6029,NCT03197675,No
9608,NCT04049682,No
6032,NCT03110302,No
6034,NCT03082638,No
9607,NCT04052503,No
6036,NCT03023644,No
9606,NCT04053868,No
9605,NCT04054544,No
6039,NCT02935621,No
6041,NCT02881944,No
6047,NCT02634944,No
6048,NCT02611375,No
6063,NCT02168114,No
9600,NCT04056013,No
6077,NCT01828983,No
6106,NCT01447186,No
9574,NCT04080414,No
6293,NCT03663361,No
6480,NCT04373967,No
6408,NCT03516773,No
6427,NCT03756545,No
9552,NCT04090970,No
6423,NCT03662776,No
6422,NCT03872895,No
6421,NCT04408105,No
6420,NCT02977039,No
6403,NCT03417752,No
6436,NCT04182529,No
9556,NCT04090359,No
6397,NCT03106116,No
9557,NCT04089371,No
9558,NCT04088799,No
6395,NCT03857672,No
6392,NCT03750292,No
6433,NCT03400436,No
9549,NCT04092101,No
6294,NCT03347552,No
6470,NCT00904579,No
6478,NCT04445116,No
6476,NCT03322891,No
6475,NCT04246281,No
6474,NCT04341948,No
9547,NCT04092777,No
6471,NCT03059095,No
6469,NCT02381054,No
6449,NCT04070833,No
6465,NCT04338334,No
6463,NCT03630588,No
6462,NCT03733626,No
9548,NCT04092387,No
6455,NCT04219540,No
6453,NCT04579198,No
6386,NCT03205865,No
6384,NCT04180020,No
6381,NCT03214549,No
6315,NCT01541761,No
6333,NCT04374591,No
6332,NCT04414904,No
6331,NCT04477083,No
6330,NCT03332563,No
6329,NCT02755285,No
6325,NCT04510844,No
9568,NCT04083859,No
9560,NCT04088175,No
6312,NCT03577223,No
6311,NCT04186533,No
6309,NCT04385251,No
6305,NCT03494738,No
9570,NCT04082117,No
9572,NCT04080570,No
6334,NCT04326517,No
6335,NCT04278495,No
6336,NCT04239066,No
9094,NCT04508348,No
9567,NCT04084093,No
6338,NCT03939091,No
6340,NCT03795545,No
6341,NCT03795532,No
6342,NCT03763539,No
9565,NCT04084561,No
9564,NCT04086875,No
6349,NCT03005145,No
6355,NCT04156919,No
6356,NCT04584554,No
9562,NCT04087213,No
6360,NCT03255681,No
6363,NCT03832049,No
9474,NCT04164108,No
6858,NCT03663452,No
6861,NCT03682263,No
7438,NCT04043182,No
9401,NCT04233671,No
7455,NCT03282110,No
9402,NCT04233112,No
9404,NCT04232267,No
9405,NCT04232124,No
3408,NCT03465072,No
7436,NCT03177577,No
7467,NCT04116463,No
9409,NCT04228055,No
7424,NCT01768650,No
9411,NCT04227119,No
7419,NCT03713970,No
7416,NCT03503097,No
9412,NCT04226092,No
7465,NCT01212029,No
7468,NCT03964792,No
7508,NCT04092257,No
7485,NCT03397420,No
7506,NCT04579328,No
7501,NCT04050449,No
9398,NCT04235725,No
7495,NCT03605888,No
9400,NCT04234581,No
7486,NCT03366454,No
7484,NCT03429257,No
7470,NCT00902798,No
7483,NCT03571932,No
7482,NCT03585361,No
7481,NCT03822611,No
7477,NCT02368106,No
7476,NCT03432325,No
7472,NCT03412136,No
7411,NCT04387019,No
7410,NCT02595034,No
9413,NCT04226027,No
9425,NCT04216732,No
7361,NCT03962712,No
9421,NCT04219397,No
7353,NCT03385304,No
7352,NCT03065101,No
9424,NCT04218370,No
7351,NCT03138564,No
7347,NCT02877680,No
7409,NCT03168776,No
7346,NCT03492021,No
7342,NCT01866735,No
7331,NCT04565366,No
7330,NCT00204477,No
9428,NCT04214119,No
9429,NCT04211766,No
7363,NCT03447860,No
7364,NCT04063592,No
7365,NCT02289287,No
7366,NCT04602806,No
9419,NCT04221594,No
7371,NCT03882515,No
7372,NCT03952182,No
7374,NCT04372797,No
9418,NCT04221607,No
7377,NCT02975596,No
9417,NCT04222166,No
7395,NCT03758846,No
7397,NCT03567421,No
7399,NCT04020471,No
9414,NCT04225585,No
7403,NCT03379220,No
7408,NCT03329404,No
7507,NCT04096521,No
7509,NCT03510286,No
6865,NCT03660696,No
7609,NCT03894241,No
9382,NCT04243044,No
9383,NCT04242277,No
9384,NCT04242186,No
7613,NCT03464409,No
7612,NCT04366284,No
7611,NCT04599296,No
7606,NCT04049305,No
7626,NCT03446131,No
7605,NCT04037852,No
7604,NCT03357224,No
9386,NCT04241939,No
7602,NCT04011176,No
7600,NCT04271150,No
9387,NCT04241913,No
7620,NCT02990793,No
7627,NCT04242160,No
7510,NCT03431558,No
9378,NCT04250662,No
9376,NCT04251988,No
7662,NCT03755401,No
7661,NCT04230967,No
7656,NCT03272074,No
7653,NCT04113135,No
7652,NCT03672461,No
7646,NCT03643978,No
7628,NCT03527641,No
9379,NCT04247828,No
7644,NCT02887235,No
7639,NCT02910557,No
7633,NCT03580538,No
7632,NCT03156010,No
7630,NCT03432715,No
7599,NCT04320576,No
9388,NCT04240951,No
7594,NCT03936738,No
7547,NCT04602416,No
9394,NCT04238143,No
7556,NCT03965676,No
7554,NCT03937856,No
7553,NCT03752619,No
7552,NCT03439319,No
7551,NCT04525651,No
9396,NCT04235907,No
7592,NCT04146168,No
7539,NCT04031326,No
7538,NCT03950986,No
7529,NCT03338530,No
7528,NCT04250688,No
9397,NCT04235751,No
7511,NCT03127397,No
7564,NCT02753842,No
7566,NCT04072211,No
7567,NCT03870204,No
7568,NCT02758236,No
7570,NCT04238910,No
7571,NCT03060109,No
7575,NCT04398784,No
7576,NCT04045132,No
7579,NCT03842111,No
9391,NCT04240561,No
7581,NCT03705377,No
7582,NCT03932929,No
7584,NCT04046965,No
7585,NCT04035382,No
9390,NCT04240691,No
7589,NCT03967912,No
7590,NCT03839719,No
9430,NCT04211506,No
7318,NCT04233944,No
7316,NCT03762070,No
7013,NCT04581317,No
7029,NCT03199222,No
7026,NCT03237013,No
9461,NCT04179981,No
7018,NCT01992263,No
7016,NCT03607331,No
7014,NCT03462758,No
7009,NCT03403166,No
7040,NCT01884545,No
7007,NCT03321292,No
7003,NCT03398395,No
7002,NCT02186093,No
6998,NCT03165968,No
6993,NCT04043715,No
6992,NCT04122326,No
7037,NCT03080246,No
7042,NCT04504630,No
7315,NCT03144427,No
9459,NCT04182113,No
7108,NCT03834714,No
9455,NCT04188197,No
7098,NCT03127293,No
7095,NCT03077126,No
9457,NCT04186793,No
9458,NCT04183504,No
7086,NCT03354351,No
7043,NCT03309046,No
7078,NCT03833219,No
7077,NCT04241133,No
7074,NCT03866837,No
7071,NCT01912287,No
7060,NCT01121250,No
9460,NCT04180540,No
6959,NCT01599767,No
6947,NCT03262766,No
6946,NCT03298724,No
6898,NCT03545217,No
6912,NCT03952949,No
9469,NCT04171544,No
6909,NCT04442620,No
6908,NCT04589676,No
6905,NCT01751230,No
6900,NCT04336397,No
6896,NCT03736395,No
6945,NCT03433599,No
6891,NCT04523259,No
6884,NCT03039465,No
9472,NCT04166591,No
6871,NCT03649191,No
9473,NCT04166240,No
6866,NCT03760497,No
6913,NCT03248583,No
6915,NCT03820947,No
6920,NCT04537689,No
9467,NCT04173572,No
6922,NCT01829620,No
6923,NCT03370991,No
6927,NCT03936582,No
6932,NCT03767699,No
6933,NCT01955382,No
6935,NCT04522973,No
6936,NCT03826303,No
6937,NCT03488875,No
6938,NCT03339648,No
6939,NCT02080923,No
6941,NCT01707030,No
6943,NCT04251091,No
6944,NCT03521856,No
7110,NCT04545606,No
7122,NCT04586049,No
7123,NCT04575402,No
7244,NCT03211884,No
7270,NCT03154307,No
7269,NCT03052010,No
9442,NCT04203381,No
7263,NCT04589377,No
7261,NCT01761396,No
7259,NCT03992001,No
7242,NCT04561765,No
7201,NCT02929134,No
7239,NCT04453943,No
7232,NCT03288233,No
7229,NCT04330326,No
7211,NCT01872390,No
7209,NCT01930084,No
7203,NCT02927496,No
7271,NCT02465307,No
9441,NCT04204434,No
9440,NCT04204668,No
9439,NCT04205084,No
7278,NCT02949037,No
7284,NCT01175993,No
7289,NCT03449667,No
9437,NCT04207437,No
9436,NCT04207567,No
7291,NCT02825654,No
7295,NCT03905668,No
7296,NCT03767894,No
7298,NCT02946736,No
7299,NCT03920137,No
9433,NCT04210024,No
7309,NCT04474093,No
7310,NCT04028180,No
7202,NCT02929121,No
7199,NCT03074799,No
7124,NCT04534972,No
7146,NCT03830840,No
7166,NCT03865680,No
7164,NCT03499951,No
7162,NCT04568330,No
7161,NCT03075475,No
7159,NCT03668678,No
7148,NCT03857360,No
7144,NCT03992274,No
7198,NCT03254628,No
9451,NCT04192227,No
7135,NCT00615979,No
7129,NCT03143179,No
7128,NCT03692273,No
7126,NCT04387812,No
9453,NCT04188535,No
9449,NCT04195477,No
7175,NCT02764983,No
7186,NCT04370977,No
7187,NCT04286243,No
9448,NCT04195646,No
9447,NCT04196374,No
7188,NCT04234815,No
7189,NCT04185597,No
7190,NCT04166370,No
7191,NCT04135625,No
7192,NCT03973593,No
7193,NCT03885973,No
7194,NCT03829358,No
7195,NCT03824756,No
9445,NCT04201132,No
7196,NCT03745495,No
7197,NCT03555669,No
7439,NCT04302649,No
0,NCT04371159,No
2507,NCT03120585,No
1415,NCT02544334,No
1072,NCT04406714,No
3262,NCT03077945,No
3261,NCT01864460,No
1648,NCT04604145,No
2075,NCT04358900,No
1650,NCT01329679,No
2076,NCT04598828,No
3084,NCT04533607,No
2358,NCT04481373,No
2757,NCT03642769,No
2759,NCT02903433,No
3258,NCT04442152,No
2479,NCT02941809,No
1790,NCT03131544,No
2921,NCT03405129,No
2085,NCT03246126,No
2924,NCT02188381,No
3266,NCT04063813,No
2086,NCT04371419,No
2066,NCT02043574,No
2059,NCT04275297,No
2062,NCT03490188,No
3076,NCT03917875,No
2749,NCT03990350,No
1640,NCT03756025,No
1793,NCT04478110,No
2065,NCT03429413,No
2070,NCT03492229,No
2925,NCT04465019,No
3078,NCT03776201,No
2071,NCT00204048,No
1504,NCT04369729,No
2357,NCT03678870,No
1202,NCT03807531,No
1645,NCT02918435,No
3080,NCT03679117,No
3257,NCT03206736,No
3256,NCT01131312,No
2054,NCT01982149,No
2780,NCT03076216,No
1661,NCT03659656,No
1187,NCT02895997,No
1662,NCT04335812,No
3244,NCT02713321,No
3096,NCT04097834,No
2468,NCT04496804,No
2779,NCT04036344,No
1663,NCT03575468,No
3245,NCT03688412,No
1492,NCT03155841,No
1779,NCT03377569,No
1184,NCT03467737,No
2460,NCT04016584,No
1775,NCT04526002,No
1182,NCT04496414,No
2784,NCT04187092,No
1189,NCT03532230,No
2103,NCT03411278,No
1653,NCT03814096,No
3249,NCT04067804,No
2089,NCT03400345,No
2477,NCT03702270,No
2222,NCT03271931,No
3255,NCT04103593,No
2765,NCT04135443,No
3251,NCT03213184,No
2367,NCT04266314,No
3248,NCT02945787,No
3094,NCT03207880,No
2099,NCT03377621,No
2472,NCT03313271,No
2101,NCT03877497,No
2914,NCT04115228,No
3246,NCT03602391,No
2221,NCT03148262,No
2219,NCT03699930,No
1407,NCT03430310,No
2926,NCT03987581,No
2014,NCT04177472,No
1621,NCT04049162,No
3296,NCT04587258,No
2512,NCT04574167,No
3058,NCT03644914,No
3294,NCT01416467,No
1231,NCT03615599,No
3293,NCT00341835,No
2717,NCT03127358,No
1622,NCT04337762,No
3057,NCT04499508,No
1826,NCT02676635,No
1623,NCT04559698,No
1624,NCT03512301,No
2030,NCT03269721,No
2032,NCT01354613,No
2726,NCT03577990,No
1392,NCT03713918,No
2716,NCT04364074,No
3299,NCT03889418,No
2728,NCT03557775,No
1513,NCT04406441,No
2227,NCT03930420,No
2519,NCT03194854,No
2518,NCT04129567,No
2517,NCT02868021,No
1059,NCT04031365,No
2346,NCT03340051,No
1614,NCT04540081,No
1512,NCT03713333,No
2606,NCT03824093,No
1386,NCT02908932,No
1834,NCT03791580,No
3306,NCT03049904,No
1833,NCT03105973,No
3305,NCT04398628,No
3302,NCT01117571,No
2516,NCT03310528,No
3142,NCT04131504,No
2729,NCT03850717,No
1404,NCT00655811,No
2494,NCT03707626,No
2353,NCT01238432,No
1218,NCT03491397,No
2499,NCT04063670,No
3071,NCT03982511,No
3278,NCT03411863,No
2496,NCT04521595,No
1068,NCT04075578,No
1809,NCT03570320,No
2930,NCT03399500,No
3073,NCT03864367,No
1402,NCT03620786,No
2491,NCT03702283,No
2490,NCT03014037,No
2051,NCT00142792,No
2927,NCT03600103,No
1803,NCT04063709,No
2742,NCT03156283,No
1397,NCT00289315,No
2037,NCT03055429,No
2350,NCT04221633,No
1630,NCT04407195,No
1228,NCT03940300,No
2732,NCT03295994,No
2733,NCT03163849,No
3065,NCT03467789,No
1395,NCT03904186,No
1225,NCT03302611,No
2735,NCT04559191,No
1396,NCT03594292,No
1224,NCT03451058,No
1223,NCT04062968,No
2351,NCT04116229,No
2737,NCT03211156,No
2504,NCT02011685,No
1632,NCT04504019,No
1816,NCT04146545,No
2904,NCT03304548,No
1667,NCT04459455,No
2789,NCT03087253,No
2167,NCT04580004,No
3184,NCT03538769,No
3127,NCT04543825,No
1454,NCT03269331,No
1722,NCT03711916,No
1721,NCT03336567,No
1457,NCT03495063,No
1458,NCT03483623,No
3178,NCT04077164,No
1453,NCT04218747,No
1100,NCT04308746,No
1686,NCT03096418,No
1469,NCT04345757,No
1134,NCT04560933,No
2838,NCT04294303,No
2169,NCT03841838,No
1688,NCT03947593,No
3126,NCT00774254,No
2199,NCT03266471,No
1105,NCT04125186,No
1679,NCT00976833,No
1149,NCT04342806,No
2148,NCT04248023,No
2150,NCT02600845,No
2884,NCT03721835,No
2426,NCT03908879,No
3192,NCT04191551,No
2154,NCT03819686,No
2424,NCT03028688,No
2830,NCT01484717,No
3123,NCT03351140,No
3190,NCT04327518,No
3124,NCT01820182,No
2160,NCT03304990,No
1723,NCT03520426,No
2161,NCT04125537,No
1682,NCT04003454,No
2171,NCT03911141,No
2407,NCT02055222,No
1769,NCT03851744,No
2182,NCT03723577,No
2392,NCT03800628,No
2862,NCT04156802,No
2398,NCT04469036,No
3154,NCT03647449,No
2181,NCT03723603,No
3152,NCT03249584,No
1702,NCT04201028,No
1701,NCT01950572,No
2850,NCT03681769,No
1700,NCT03224416,No
3147,NCT02707042,No
2187,NCT03261089,No
2855,NCT03325777,No
2186,NCT03642275,No
1118,NCT04394104,No
2858,NCT03566706,No
2852,NCT03442374,No
1122,NCT04538482,No
2841,NCT03465995,No
2843,NCT03080090,No
3171,NCT00654615,No
2869,NCT03155880,No
3170,NCT03856255,No
1127,NCT03073343,No
1106,NCT03174769,No
1459,NCT03276741,No
2842,NCT03748420,No
1126,NCT04141228,No
3161,NCT04037033,No
3138,NCT04564209,No
2865,NCT04479761,No
1460,NCT02984943,No
1124,NCT04576832,No
1108,NCT03109002,No
1461,NCT02009930,No
3162,NCT02190266,No
1732,NCT03511937,No
3196,NCT03680365,No
1733,NCT03529214,No
2450,NCT03664765,No
3105,NCT04079582,No
2796,NCT03028233,No
2902,NCT02790502,No
2900,NCT04317924,No
2799,NCT04585230,No
2899,NCT04090879,No
1171,NCT00339924,No
1437,NCT03875651,No
3221,NCT03044821,No
2127,NCT04333615,No
3107,NCT04235764,No
3218,NCT02578147,No
3108,NCT03920670,No
2895,NCT03845283,No
2378,NCT02470260,No
1670,NCT03789721,No
3104,NCT03778060,No
2374,NCT03976336,No
1734,NCT04073940,No
2120,NCT03404531,No
3233,NCT01005654,No
1177,NCT03180853,No
2455,NCT04233164,No
3232,NCT04502212,No
3231,NCT03278990,No
3230,NCT04140084,No
2792,NCT02956408,No
1087,NCT03527654,No
1173,NCT04542915,No
2121,NCT03518294,No
2210,NCT03168425,No
3228,NCT03670914,No
2795,NCT04426318,No
2122,NCT03337217,No
2451,NCT04352764,No
3224,NCT04199702,No
3216,NCT03654365,No
1750,NCT04136951,No
2892,NCT04173884,No
1097,NCT03566264,No
2435,NCT04575168,No
2434,NCT04533425,No
1674,NCT03621826,No
3204,NCT03911284,No
1743,NCT03763591,No
2205,NCT04321811,No
1739,NCT03054597,No
3202,NCT03040466,No
3215,NCT02261974,No
1474,NCT03399461,No
2204,NCT01254669,No
3200,NCT03972774,No
2203,NCT02698722,No
2385,NCT02714413,No
2432,NCT04122378,No
3121,NCT03882957,No
1161,NCT03202680,No
2436,NCT03615235,No
2437,NCT00481507,No
2818,NCT02709135,No
2807,NCT04052815,No
3214,NCT02550730,No
2808,NCT04221815,No
2133,NCT03441503,No
2443,NCT03479905,No
3211,NCT03615950,No
1672,NCT03536676,No
1165,NCT03845400,No
2810,NCT03375099,No
3208,NCT03992378,No
3113,NCT04608149,No
1443,NCT03876665,No
1163,NCT04582266,No
2815,NCT02021175,No
2208,NCT04533360,No
2015,NCT00578994,No
2395,NCT03731351,No
1057,NCT03421561,No
1334,NCT03321474,No
2640,NCT03099954,No
1331,NCT04532788,No
2641,NCT03323723,No
2642,NCT03359421,No
1563,NCT04316819,No
122,NCT03688126,No
3366,NCT03519074,No
2644,NCT03613714,No
1940,NCT03596203,No
1332,NCT03614819,No
2980,NCT04438161,No
1564,NCT04283344,No
128,NCT03631472,No
129,NCT03699709,No
2647,NCT03625492,No
131,NCT02939131,No
132,NCT03488264,No
2638,NCT03865199,No
2308,NCT03205982,No
2982,NCT02524366,No
1933,NCT03372928,No
1931,NCT04359082,No
2584,NCT03807934,No
1878,NCT03257436,No
2583,NCT04562649,No
3374,NCT03634306,No
1932,NCT03524690,No
101,NCT04552535,No
1934,NCT03250234,No
2983,NCT03927742,No
104,NCT03390660,No
105,NCT00837499,No
3373,NCT03221192,No
2581,NCT03925038,No
2634,NCT03242577,No
2328,NCT03243084,No
1560,NCT04054947,No
1565,NCT04253743,No
2650,NCT03219177,No
1965,NCT03072511,No
2977,NCT03807817,No
2660,NCT03340233,No
3353,NCT04022434,No
1532,NCT03395964,No
1281,NCT04594109,No
1030,NCT04004715,No
3019,NCT00481754,No
2552,NCT03196999,No
1960,NCT04545333,No
2286,NCT03640286,No
2664,NCT04113733,No
2285,NCT03313765,No
2283,NCT01327105,No
2669,NCT03404349,No
1963,NCT03352219,No
3348,NCT04422600,No
1032,NCT01031160,No
2670,NCT04399941,No
2659,NCT03970642,No
1029,NCT03771196,No
2969,NCT01239082,No
2300,NCT03378336,No
2305,NCT04030117,No
2975,NCT03394040,No
143,NCT04072289,No
144,NCT04423770,No
1288,NCT03043300,No
2330,NCT03735407,No
1534,NCT03566095,No
2654,NCT02281747,No
1955,NCT03506984,No
1335,NCT04215328,No
153,NCT03198793,No
2332,NCT03263195,No
3359,NCT03736603,No
157,NCT04281290,No
1023,NCT02755831,No
1950,NCT04303676,No
1296,NCT04155333,No
94,NCT03266497,No
1559,NCT03931395,No
3377,NCT01212003,No
25,NCT03867409,No
26,NCT04004260,No
27,NCT04205877,No
3394,NCT04413708,No
2320,NCT04502290,No
2620,NCT03304782,No
1918,NCT03985449,No
31,NCT04562636,No
3388,NCT04461405,No
32,NCT03924505,No
34,NCT03311295,No
3387,NCT03267914,No
35,NCT03242278,No
36,NCT03683134,No
37,NCT04047316,No
38,NCT03952364,No
1306,NCT03693937,No
2616,NCT03148652,No
2597,NCT03066999,No
2598,NCT03050840,No
1548,NCT03903588,No
2607,NCT04388605,No
1317,NCT04494490,No
1314,NCT04156373,No
3402,NCT03738462,No
2609,NCT03794856,No
1313,NCT04017624,No
1547,NCT02542046,No
1545,NCT03264898,No
21,NCT03995745,No
1318,NCT04073719,No
2993,NCT03229356,No
3398,NCT03974061,No
1308,NCT04274959,No
2615,NCT03689530,No
1321,NCT04589416,No
3395,NCT03643783,No
39,NCT04021030,No
1305,NCT04374201,No
42,NCT03628235,No
1297,NCT04067401,No
1926,NCT03407443,No
1891,NCT03480854,No
2985,NCT01316783,No
78,NCT03310112,No
1927,NCT02544035,No
1298,NCT03839797,No
1011,NCT03293901,No
3379,NCT03523780,No
1924,NCT03265912,No
3009,NCT03318237,No
2627,NCT04109443,No
3010,NCT04491539,No
2587,NCT03997422,No
2630,NCT03286283,No
2586,NCT03301753,No
2632,NCT03814980,No
2625,NCT03823872,No
3005,NCT03348345,No
2319,NCT03481270,No
1897,NCT03149510,No
45,NCT04263311,No
46,NCT00875641,No
48,NCT04587245,No
50,NCT03274726,No
3383,NCT04381481,No
52,NCT04191824,No
54,NCT02813577,No
57,NCT04163341,No
1006,NCT02876575,No
2314,NCT04250077,No
60,NCT03276637,No
61,NCT03192891,No
62,NCT03373045,No
63,NCT04229212,No
1304,NCT03530020,No
1004,NCT02472067,No
1964,NCT03480217,No
156,NCT03346603,No
1267,NCT03185728,No
1516,NCT03700281,No
3034,NCT03884478,No
2335,NCT02968381,No
2000,NCT02050113,No
3316,NCT04312165,No
2696,NCT03307356,No
1531,NCT03261882,No
2260,NCT03081871,No
2003,NCT03964974,No
1352,NCT03788408,No
1269,NCT04111263,No
1992,NCT03833284,No
1356,NCT02175316,No
2007,NCT02698670,No
1040,NCT03364361,No
1055,NCT03056534,No
1039,NCT03306602,No
2965,NCT04039399,No
1590,NCT04419883,No
2008,NCT03323008,No
1374,NCT03969654,No
2545,NCT04277780,No
3326,NCT03520387,No
3321,NCT04046055,No
1048,NCT03369730,No
2703,NCT03826290,No
2248,NCT03242655,No
2233,NCT03565653,No
3331,NCT03767231,No
2534,NCT01142908,No
1258,NCT04501419,No
2247,NCT02703701,No
1369,NCT03993002,No
1045,NCT04607356,No
2530,NCT02464410,No
3333,NCT04161040,No
3318,NCT03490045,No
2249,NCT03906942,No
1989,NCT03501992,No
2529,NCT00781586,No
2250,NCT03556293,No
1529,NCT03912194,No
2253,NCT03406975,No
2958,NCT03740490,No
2959,NCT04018573,No
1988,NCT01532986,No
2256,NCT03281590,No
1372,NCT03479541,No
1265,NCT04010162,No
2528,NCT02768103,No
1993,NCT03252951,No
1608,NCT03588364,No
1365,NCT02015390,No
2270,NCT04203238,No
2693,NCT00342732,No
1588,NCT00342771,No
1586,NCT03276247,No
3322,NCT03543735,No
1609,NCT03293654,No
2274,NCT03489356,No
1996,NCT03865303,No
2334,NCT03640208,No
2521,NCT04163614,No
1034,NCT03719391,No
1840,NCT03825783,No
2520,NCT03136029,No
3346,NCT04608188,No
1998,NCT03711630,No
1583,NCT01524146,No
2229,NCT03532256,No
2709,NCT03982979,No
2526,NCT04397900,No
1997,NCT04461184,No
1610,NCT03593356,No
1345,NCT04565860,No
2269,NCT03416738,No
1362,NCT04163172,No
2548,NCT04346511,No
3324,NCT00469339,No
2546,NCT01238445,No
1844,NCT03775954,No
1038,NCT03525184,No
1843,NCT03272048,No
2234,NCT02924857,No
2009,NCT02233192,No
2945,NCT03843437,No
1841,NCT01953016,No
2344,NCT04323267,No
1995,NCT03311646,No
1375,NCT03255161,No
3323,NCT01812824,No
1052,NCT03598114,No
2237,NCT03306147,No
2525,NCT04029220,No
